unique_paragraph_id,participant_id,unique_trial_id,label,regime
5,p02,p02_5,1,train_train
5,p04,p04_5,0,train_train
5,p05,p05_5,0,train_train
8,p02,p02_8,1,train_train
8,p04,p04_8,1,train_train
8,p05,p05_8,1,train_train
13,p02,p02_13,0,train_train
13,p04,p04_13,0,train_train
13,p05,p05_13,0,train_train
14,p02,p02_14,1,train_train
14,p04,p04_14,1,train_train
14,p05,p05_14,1,train_train
15,p02,p02_15,1,train_train
15,p04,p04_15,1,train_train
15,p05,p05_15,0,train_train
18,p02,p02_18,0,train_train
18,p04,p04_18,1,train_train
18,p05,p05_18,0,train_train
22,p02,p02_22,1,train_train
22,p04,p04_22,1,train_train
22,p05,p05_22,1,train_train
23,p02,p02_23,1,train_train
23,p04,p04_23,1,train_train
23,p05,p05_23,1,train_train
26,p02,p02_26,1,train_train
26,p04,p04_26,1,train_train
26,p05,p05_26,0,train_train
29,p02,p02_29,0,train_train
29,p04,p04_29,1,train_train
29,p05,p05_29,0,train_train
32,p02,p02_32,1,train_train
32,p04,p04_32,1,train_train
32,p05,p05_32,1,train_train
36,p02,p02_36,1,train_train
36,p04,p04_36,1,train_train
36,p05,p05_36,1,train_train
39,p02,p02_39,1,train_train
39,p04,p04_39,1,train_train
39,p05,p05_39,1,train_train
40,p02,p02_40,1,train_train
40,p04,p04_40,0,train_train
40,p05,p05_40,1,train_train
41,p02,p02_41,0,train_train
41,p04,p04_41,1,train_train
41,p05,p05_41,0,train_train
43,p02,p02_43,0,train_train
43,p04,p04_43,1,train_train
43,p05,p05_43,1,train_train
44,p02,p02_44,1,train_train
44,p04,p04_44,1,train_train
44,p05,p05_44,1,train_train
45,p02,p02_45,0,train_train
45,p04,p04_45,1,train_train
45,p05,p05_45,0,train_train
46,p02,p02_46,1,train_train
46,p04,p04_46,1,train_train
46,p05,p05_46,1,train_train
47,p02,p02_47,1,train_train
47,p04,p04_47,1,train_train
47,p05,p05_47,1,train_train
48,p02,p02_48,1,train_train
48,p04,p04_48,1,train_train
48,p05,p05_48,1,train_train
51,p02,p02_51,0,train_train
51,p04,p04_51,1,train_train
51,p05,p05_51,1,train_train
52,p02,p02_52,1,train_train
52,p04,p04_52,1,train_train
52,p05,p05_52,1,train_train
53,p02,p02_53,1,train_train
53,p04,p04_53,1,train_train
53,p05,p05_53,1,train_train
56,p02,p02_56,1,train_train
56,p04,p04_56,1,train_train
56,p05,p05_56,1,train_train
57,p02,p02_57,0,train_train
57,p04,p04_57,0,train_train
57,p05,p05_57,0,train_train
59,p02,p02_59,1,train_train
59,p04,p04_59,1,train_train
59,p05,p05_59,1,train_train
61,p02,p02_61,0,train_train
61,p04,p04_61,1,train_train
61,p05,p05_61,1,train_train
64,p02,p02_64,1,train_train
64,p04,p04_64,1,train_train
64,p05,p05_64,0,train_train
65,p02,p02_65,1,train_train
65,p04,p04_65,1,train_train
65,p05,p05_65,0,train_train
66,p02,p02_66,0,train_train
66,p04,p04_66,0,train_train
66,p05,p05_66,1,train_train
70,p02,p02_70,1,train_train
70,p04,p04_70,1,train_train
70,p05,p05_70,1,train_train
71,p02,p02_71,1,train_train
71,p04,p04_71,0,train_train
71,p05,p05_71,0,train_train
72,p02,p02_72,1,train_train
72,p04,p04_72,1,train_train
72,p05,p05_72,1,train_train
74,p02,p02_74,0,train_train
74,p04,p04_74,1,train_train
74,p05,p05_74,0,train_train
75,p02,p02_75,1,train_train
75,p04,p04_75,1,train_train
75,p05,p05_75,1,train_train
76,p02,p02_76,1,train_train
76,p04,p04_76,1,train_train
76,p05,p05_76,1,train_train
78,p02,p02_78,0,train_train
78,p04,p04_78,0,train_train
78,p05,p05_78,0,train_train
83,p02,p02_83,1,train_train
83,p04,p04_83,1,train_train
83,p05,p05_83,0,train_train
84,p02,p02_84,1,train_train
84,p04,p04_84,0,train_train
84,p05,p05_84,1,train_train
85,p02,p02_85,1,train_train
85,p04,p04_85,0,train_train
85,p05,p05_85,0,train_train
86,p02,p02_86,1,train_train
86,p04,p04_86,0,train_train
86,p05,p05_86,1,train_train
87,p02,p02_87,1,train_train
87,p04,p04_87,1,train_train
87,p05,p05_87,1,train_train
88,p02,p02_88,1,train_train
88,p04,p04_88,1,train_train
88,p05,p05_88,1,train_train
92,p02,p02_92,1,train_train
92,p04,p04_92,1,train_train
92,p05,p05_92,0,train_train
94,p02,p02_94,1,train_train
94,p04,p04_94,1,train_train
94,p05,p05_94,1,train_train
95,p02,p02_95,1,train_train
95,p04,p04_95,1,train_train
95,p05,p05_95,1,train_train
96,p02,p02_96,1,train_train
96,p04,p04_96,1,train_train
96,p05,p05_96,1,train_train
97,p02,p02_97,1,train_train
97,p04,p04_97,0,train_train
97,p05,p05_97,0,train_train
98,p02,p02_98,1,train_train
98,p04,p04_98,0,train_train
98,p05,p05_98,1,train_train
101,p02,p02_101,1,train_train
101,p04,p04_101,1,train_train
101,p05,p05_101,1,train_train
102,p02,p02_102,0,train_train
102,p04,p04_102,1,train_train
102,p05,p05_102,1,train_train
103,p02,p02_103,1,train_train
103,p04,p04_103,1,train_train
103,p05,p05_103,1,train_train
104,p02,p02_104,0,train_train
104,p04,p04_104,1,train_train
104,p05,p05_104,1,train_train
107,p02,p02_107,1,train_train
107,p04,p04_107,1,train_train
107,p05,p05_107,1,train_train
108,p02,p02_108,1,train_train
108,p04,p04_108,1,train_train
108,p05,p05_108,1,train_train
110,p02,p02_110,1,train_train
110,p04,p04_110,1,train_train
110,p05,p05_110,1,train_train
112,p02,p02_112,1,train_train
112,p04,p04_112,1,train_train
112,p05,p05_112,1,train_train
115,p02,p02_115,1,train_train
115,p04,p04_115,1,train_train
115,p05,p05_115,1,train_train
116,p02,p02_116,1,train_train
116,p04,p04_116,1,train_train
116,p05,p05_116,1,train_train
117,p02,p02_117,1,train_train
117,p04,p04_117,1,train_train
117,p05,p05_117,1,train_train
121,p02,p02_121,1,train_train
121,p04,p04_121,1,train_train
121,p05,p05_121,0,train_train
123,p02,p02_123,1,train_train
123,p04,p04_123,1,train_train
123,p05,p05_123,1,train_train
124,p02,p02_124,1,train_train
124,p04,p04_124,1,train_train
124,p05,p05_124,1,train_train
127,p02,p02_127,1,train_train
127,p04,p04_127,1,train_train
127,p05,p05_127,1,train_train
128,p02,p02_128,1,train_train
128,p04,p04_128,0,train_train
128,p05,p05_128,1,train_train
129,p02,p02_129,1,train_train
129,p04,p04_129,1,train_train
129,p05,p05_129,1,train_train
132,p02,p02_132,1,train_train
132,p04,p04_132,1,train_train
132,p05,p05_132,1,train_train
133,p02,p02_133,1,train_train
133,p04,p04_133,1,train_train
133,p05,p05_133,1,train_train
134,p02,p02_134,1,train_train
134,p04,p04_134,1,train_train
134,p05,p05_134,1,train_train
136,p02,p02_136,1,train_train
136,p04,p04_136,1,train_train
136,p05,p05_136,0,train_train
140,p02,p02_140,1,train_train
140,p04,p04_140,1,train_train
140,p05,p05_140,1,train_train
143,p02,p02_143,1,train_train
143,p04,p04_143,1,train_train
143,p05,p05_143,1,train_train
144,p02,p02_144,0,train_train
144,p04,p04_144,1,train_train
144,p05,p05_144,1,train_train
147,p02,p02_147,1,train_train
147,p04,p04_147,1,train_train
147,p05,p05_147,1,train_train
151,p02,p02_151,0,train_train
151,p04,p04_151,1,train_train
151,p05,p05_151,1,train_train
152,p02,p02_152,1,train_train
152,p04,p04_152,1,train_train
152,p05,p05_152,1,train_train
153,p02,p02_153,1,train_train
153,p04,p04_153,1,train_train
153,p05,p05_153,0,train_train
154,p02,p02_154,1,train_train
154,p04,p04_154,1,train_train
154,p05,p05_154,1,train_train
158,p02,p02_158,1,train_train
158,p04,p04_158,1,train_train
158,p05,p05_158,1,train_train
159,p02,p02_159,1,train_train
159,p04,p04_159,1,train_train
159,p05,p05_159,1,train_train
160,p02,p02_160,0,train_train
160,p04,p04_160,0,train_train
160,p05,p05_160,1,train_train
162,p02,p02_162,1,train_train
162,p04,p04_162,1,train_train
162,p05,p05_162,1,train_train
163,p02,p02_163,1,train_train
163,p04,p04_163,1,train_train
163,p05,p05_163,1,train_train
166,p02,p02_166,0,train_train
166,p04,p04_166,0,train_train
166,p05,p05_166,0,train_train
167,p02,p02_167,1,train_train
167,p04,p04_167,1,train_train
167,p05,p05_167,1,train_train
171,p02,p02_171,1,train_train
171,p04,p04_171,1,train_train
171,p05,p05_171,1,train_train
173,p02,p02_173,1,train_train
173,p04,p04_173,1,train_train
173,p05,p05_173,1,train_train
176,p02,p02_176,1,train_train
176,p04,p04_176,1,train_train
176,p05,p05_176,1,train_train
178,p02,p02_178,1,train_train
178,p04,p04_178,1,train_train
178,p05,p05_178,1,train_train
179,p02,p02_179,1,train_train
179,p04,p04_179,1,train_train
179,p05,p05_179,1,train_train
183,p02,p02_183,1,train_train
183,p04,p04_183,1,train_train
183,p05,p05_183,1,train_train
184,p02,p02_184,1,train_train
184,p04,p04_184,1,train_train
184,p05,p05_184,1,train_train
185,p02,p02_185,0,train_train
185,p04,p04_185,0,train_train
185,p05,p05_185,0,train_train
188,p02,p02_188,1,train_train
188,p04,p04_188,1,train_train
188,p05,p05_188,1,train_train
190,p02,p02_190,1,train_train
190,p04,p04_190,1,train_train
190,p05,p05_190,1,train_train
192,p02,p02_192,1,train_train
192,p04,p04_192,1,train_train
192,p05,p05_192,1,train_train
193,p02,p02_193,1,train_train
193,p04,p04_193,0,train_train
193,p05,p05_193,1,train_train
197,p02,p02_197,1,train_train
197,p04,p04_197,1,train_train
197,p05,p05_197,1,train_train
199,p02,p02_199,0,train_train
199,p04,p04_199,0,train_train
199,p05,p05_199,1,train_train
201,p02,p02_201,1,train_train
201,p04,p04_201,1,train_train
201,p05,p05_201,1,train_train
202,p02,p02_202,1,train_train
202,p04,p04_202,1,train_train
202,p05,p05_202,1,train_train
203,p02,p02_203,1,train_train
203,p04,p04_203,1,train_train
203,p05,p05_203,1,train_train
206,p02,p02_206,1,train_train
206,p04,p04_206,1,train_train
206,p05,p05_206,1,train_train
207,p02,p02_207,0,train_train
207,p04,p04_207,0,train_train
207,p05,p05_207,0,train_train
208,p02,p02_208,0,train_train
208,p04,p04_208,1,train_train
208,p05,p05_208,0,train_train
210,p02,p02_210,1,train_train
210,p04,p04_210,1,train_train
210,p05,p05_210,1,train_train
211,p02,p02_211,1,train_train
211,p04,p04_211,1,train_train
211,p05,p05_211,1,train_train
214,p02,p02_214,0,train_train
214,p04,p04_214,0,train_train
214,p05,p05_214,0,train_train
215,p02,p02_215,1,train_train
215,p04,p04_215,1,train_train
215,p05,p05_215,0,train_train
217,p02,p02_217,1,train_train
217,p04,p04_217,1,train_train
217,p05,p05_217,1,train_train
218,p02,p02_218,1,train_train
218,p04,p04_218,1,train_train
218,p05,p05_218,1,train_train
222,p02,p02_222,1,train_train
222,p04,p04_222,1,train_train
222,p05,p05_222,1,train_train
