word_number,word,x1,y1,x2,y2,filename,is_question,sequence_num,stimulus_type,question
1,Question,203,412,438,456,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
2,4.,457,414,498,453,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
3,According,516,413,788,465,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
4,to,807,415,857,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
5,the,875,413,956,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
6,"passage,",977,422,1206,465,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
7,which,1226,413,1380,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
8,of,1401,413,1451,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
9,the,1468,413,1549,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
10,following,1566,413,1806,465,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
11,is,1829,413,1869,454,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
12,true,205,613,246,664,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
13,of,271,613,294,653,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
14,antithrombin?,314,613,507,654,question-genome-4.png,True,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
15,It,526,613,810,665,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
16,reduces,827,613,918,654,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
17,compounds,938,613,1036,654,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
18,that,1055,615,1100,654,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
19,lead,1120,613,1249,654,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
20,to,1271,613,1393,654,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
21,blood,201,1013,246,1064,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
22,clots.,271,1013,294,1053,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
23,2),313,1022,473,1054,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
24,It,493,1013,698,1065,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
25,stems,719,1013,755,1053,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
26,from,775,1013,920,1065,question-genome-4.png,False,4,genome,"Question 4. According to the passage, which of the following is true of antithrombin?"
