word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	Even	108	100	157	116
5	then	164	99	207	116
6	my	213	105	243	122
7	only	250	99	293	122
8	friends	300	99	365	116
9	were	372	105	418	116
10	made	425	99	477	116
11	of	485	99	506	116
12	paper	510	105	565	122
13	and	572	99	607	116
14	ink.	614	99	644	116
15	At	657	100	680	116
16	school	688	99	751	116
17	I	758	99	807	116
18	had	44	156	116	174
19	learned	123	159	141	174
20	to	149	156	191	174
21	read	198	156	233	174
22	and	239	159	288	174
23	write	296	156	338	179
24	long	345	156	406	174
25	before	413	156	443	174
26	the	450	156	501	174
27	other	508	156	592	174
28	children.	601	156	665	174
29	Where	672	163	701	179
30	my	709	156	771	174
31	school	780	156	845	174
32	friends	44	220	80	231
33	saw	86	214	161	231
34	notches	169	214	191	231
35	of	195	214	225	231
36	ink	232	220	256	231
37	on	264	214	435	237
38	incomprehensible	443	220	501	237
39	pages,	509	215	516	231
40	I	523	220	559	231
41	saw	567	214	614	237
42	light,	623	217	689	235
43	streets,	698	214	733	231
44	and	739	214	805	237
45	people.	44	272	107	289
46	Words	115	272	150	289
47	and	157	272	186	289
48	the	193	274	270	294
49	mystery	277	272	299	289
50	of	302	272	347	289
51	their	359	272	421	289
52	hidden	428	278	497	289
53	science	505	272	602	289
54	fascinated	609	278	642	292
55	me,	651	272	686	289
56	and	692	272	700	289
57	I	707	278	743	289
58	saw	750	278	768	289
59	in	774	272	823	289
60	them	830	278	839	289
61	a	43	329	77	352
62	key	84	329	127	346
63	with	133	329	192	346
64	which	199	330	206	346
65	I	213	329	268	346
66	could	275	329	342	346
67	unlock	349	335	358	346
68	a	365	329	463	346
69	boundless	471	329	532	349
70	world,	541	335	550	346
71	a	558	329	595	346
72	safe	602	329	659	346
73	haven	667	329	711	346
74	from	718	329	755	346
75	that	762	329	820	349
76	home,	43	387	95	404
77	those	102	389	168	407
78	streets,	177	387	212	404
79	and	219	387	270	404
80	those	277	387	347	404
81	troubled	368	387	410	409
82	days	418	387	436	404
83	in	442	387	502	404
84	which	509	393	553	404
85	even	559	388	567	404
86	I	574	387	629	404
87	could	636	393	686	404
88	sense	694	387	731	404
89	that	738	387	781	409
90	only	789	393	798	404
91	a	44	444	111	462
92	limited	119	444	188	462
93	fortune	196	444	271	462
94	awaited	277	451	305	462
95	me.	318	445	351	467
96	My	359	444	415	462
97	father	422	444	480	462
98	didn’t	488	444	522	462
99	like	529	447	548	462
100	to	556	451	585	462
101	see	592	444	649	462
102	books	658	444	675	462
103	in	682	444	711	462
104	the	719	444	780	462
105	house.	789	444	845	462
106	There	43	508	79	519
107	was	87	502	186	525
108	something	193	502	248	519
109	about	255	502	376	525
110	them—apart	384	502	429	519
111	from	436	502	465	519
112	the	473	502	532	519
113	letters	539	502	561	519
114	he	569	502	624	519
115	could	630	505	662	519
116	not	670	502	815	525
117	decipher—that	44	559	129	577
118	offended	136	559	176	577
119	him.	185	560	212	577
120	He	219	559	264	577
121	used	271	562	290	577
122	to	297	559	328	577
123	tell	336	566	363	577
124	me	371	559	408	577
125	that	415	566	434	577
126	as	441	566	487	577
127	soon	495	566	513	577
128	as	520	560	527	577
129	I	533	566	569	577
130	was	577	562	607	577
131	ten	613	559	636	577
132	he	643	559	705	577
133	would	712	559	756	577
134	send	763	566	791	577
135	me	798	559	827	577
136	off	831	562	850	577
137	to	33	648	116	665
138	Previous	123	654	167	670
139	page	764	648	811	664
140	Next	817	653	862	669
141	page	0	0	0	0
