word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	didn’t	44	99	102	116
5	measure	109	105	188	116
6	calcium	196	99	272	116
7	levels,	279	99	338	119
8	the	346	99	376	116
9	current	384	102	453	116
10	likely	460	99	514	122
11	led	522	99	551	116
12	to	558	102	577	116
13	increases).	585	99	679	120
14	When	693	99	751	116
15	they	757	99	799	122
16	modified	43	156	129	174
17	this	136	156	170	174
18	experiment	178	156	286	179
19	by	292	156	316	179
20	altering	324	156	397	179
21	the	403	157	433	174
22	amount	441	159	513	174
23	of	521	156	542	174
24	electrical	547	156	635	174
25	current,	643	159	717	177
26	Volkov	726	156	797	174
27	could	804	156	859	174
28	determine	44	214	139	231
29	the	147	214	176	231
30	exact	184	217	234	231
31	electrical	242	214	330	231
32	charge	338	214	400	237
33	needed	407	214	477	231
34	for	485	214	512	231
35	the	518	214	548	231
36	trap	555	217	593	237
37	to	600	217	619	231
38	close.	627	214	680	231
39	As	689	215	714	231
40	long	722	214	765	237
41	as	771	220	790	231
42	fourteen	44	272	125	289
43	microcoulombs—a	131	272	317	289
44	tiny	324	275	361	294
45	bit	368	272	394	289
46	more	400	278	449	289
47	than	456	272	499	289
48	the	506	272	535	289
49	static	543	274	593	289
50	electricity	601	272	697	294
51	generated	703	272	798	294
52	by	804	272	828	294
53	rubbing	43	329	119	352
54	two	126	332	161	346
55	balloons	168	329	252	346
56	together—flowed	260	329	430	352
57	between	437	329	519	346
58	the	526	329	555	346
59	two	563	332	598	346
60	electrodes,	606	329	710	349
61	the	718	329	747	346
62	trap	755	332	792	352
63	closed.	44	387	110	404
64	This	119	387	160	404
65	could	168	387	223	404
66	come	230	393	281	404
67	as	289	393	307	404
68	one	315	393	349	404
69	large	357	387	403	409
70	burst	410	387	459	404
71	or	467	393	486	404
72	as	494	393	512	404
73	a	520	393	529	404
74	series	537	393	589	404
75	of	597	387	619	404
76	smaller	623	387	693	404
77	charges	700	387	772	409
78	within	779	387	841	404
79	twenty	44	447	109	467
80	seconds.	117	444	197	462
81	If	206	444	223	462
82	it	228	444	240	462
83	took	247	444	290	462
84	longer	298	444	359	467
85	than	366	444	408	462
86	twenty	415	447	481	467
87	seconds	488	444	564	462
88	to	571	447	590	462
89	accumulate	598	444	708	462
90	the	715	444	745	462
91	total	752	444	796	462
92	charge,	44	502	112	525
93	the	120	502	149	519
94	trap	157	505	194	525
95	would	202	502	263	519
96	remain	270	502	336	519
97	open.	343	508	395	525
98	(FIN)	405	502	457	524
99	Previous	33	648	116	665
100	page	123	654	167	670
101	Next	764	648	811	664
102	page	817	653	862	675
