word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	brink	43	99	94	116
5	of	101	99	123	116
6	knowing,	127	99	215	122
7	I	223	100	279	116
8	now	286	105	320	119
9	see,	329	99	343	116
10	is	350	102	382	116
11	not	389	105	412	116
12	an	419	99	519	122
13	ephemeral	526	99	656	116
14	mathematical	664	102	704	122
15	spot	711	99	742	116
16	but	749	99	817	122
17	myself.	826	99	863	116
18	The	44	156	107	174
19	doctor	113	163	149	174
20	was	157	156	206	179
21	right,	215	163	259	174
22	even	266	156	334	179
23	though	340	157	347	174
24	I	354	156	416	174
25	dislike	424	156	464	174
26	him.	473	156	620	179
27	Fundamentally	641	163	669	174
28	I	676	163	685	174
29	am	693	156	792	179
30	a	43	214	131	235
31	dangerous	139	214	174	231
32	madman,	181	214	227	231
33	and	235	215	242	231
34	what	249	214	273	231
35	I	281	214	294	231
36	do	301	214	346	231
37	is	353	220	362	231
38	both	370	214	462	237
39	a	470	217	488	231
40	challenge	496	220	525	237
41	to	532	217	606	237
42	my	613	214	648	231
43	egotism	655	220	665	231
44	and	673	214	764	231
45	a	771	217	790	231
46	surrender	798	217	814	231
47	to	44	272	96	293
48	it.	33	648	116	665
49	(FIN)	123	654	167	670
50	Previous	764	648	811	665
51	page	817	653	862	678
52	Next	0	0	0	0
53	page	0	0	0	0
