column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,107435,0.0,60.0,102.0,210.18960301577698,189.0,334.0,3308.0,108.92808967738341,903,
CURRENT_FIX_INDEX,numeric,107435,0.0,1.0,2.0,12.350369991157445,10.0,25.0,127.0,10.427053864110292,127,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,92561,13.8,1.0,2.0,5.34347079223431,5.0,10.0,24.0,3.4015039008539603,24,
CURRENT_FIX_X,numeric,107435,0.0,-493.17413127413135,81.54769007263921,469.32103216322116,381.70859538784055,1152.1751820906047,1869.4194594594596,356.154544029052,107429,
CURRENT_FIX_Y,numeric,107435,0.0,-522.8366795366795,474.15814155487993,545.3913182922977,501.7683544303798,596.4492212096146,1941.4902222222224,146.02843871081342,107384,
RECORDING_SESSION_LABEL,numeric,107435,0.0,1.0,8.0,25.68351096011542,27.0,45.0,47.0,13.068325026930296,39,
itemid,numeric,107435,0.0,1.0,34.0,157.9271280309024,161.0,276.0,306.0,87.96457813036605,306,
offset,numeric,107435,0.0,835584.0,1647099.6,9600866.143724112,5053449.0,23214375.400000002,36040093.0,9597553.374077799,106988,
onset,numeric,107435,0.0,835374.0,1646894.6,9600655.954121096,5053313.0,23214040.6,36040011.0,9597552.093718072,107000,
source_file,numeric,107435,0.0,1.0,8.0,25.68351096011542,27.0,45.0,47.0,13.068325026930296,39,
