column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
Unnamed: 5,categorical,21,100.0,,,,,,,,1,{'s': 100.0}
first_duration,numeric,52953,0.0,0.0,0.0,175.54852416293696,179.0,302.0,1503.0,117.29134794626212,717,
first_fixation_duration,numeric,35225,33.5,60.0,128.0,214.74611781405252,199.0,318.0,1503.0,93.1298873503337,697,
fixation1,categorical,43562,17.7,,,,,,,,43562,
fixation10,categorical,225,99.6,,,,,,,,225,
fixation11,categorical,156,99.7,,,,,,,,156,
fixation12,categorical,112,99.8,,,,,,,,112,
fixation13,categorical,74,99.9,,,,,,,,74,
fixation14,categorical,58,99.9,,,,,,,,58,
fixation15,categorical,43,99.9,,,,,,,,43,
fixation16,categorical,27,99.9,,,,,,,,27,
fixation17,categorical,17,100.0,,,,,,,,17,
fixation18,categorical,10,100.0,,,,,,,,10,"{'(1562211, 1562364, 153, 146.67296416938103, 505.7967426710104, 49)': 10.0, '(2286620, 2286834, 214, 671.2898148148146, 506.9935185185184, 35)': 10.0, '(2241536, 2242158, 622, 250.6278846153846, 525.5192307692312, 28)': 10.0, '(2734662, 2734762, 100, 254.40980392156865, 530.8176470588238, 47)': 10.0, '(2734166, 2734272, 106, 345.06481481481484, 535.7666666666665, 45)': 10.0, '(5309584, 5309756, 172, 359.7931034482758, 474.43448275862056, 46)': 10.0, '(1817442, 1817825, 383, 366.9149934810949, 487.3923076923077, 43)': 10.0, '(16950702, 16950963, 261, 408.958891013384, 507.3837476099421, 80)': 10.0, '(17032052, 17032215, 163, 316.3348623853212, 489.18562691131496, 97)': 10.0, '(17032538, 17032770, 232, 516.7443010752688, 497.2400000000005, 99)': 10.0}"
fixation19,categorical,6,100.0,,,,,,,,6,"{'(1562537, 1562895, 358, 215.3111576011158, 504.9864714086471, 50)': 16.7, '(2286868, 2287110, 242, 635.32131147541, 502.3450819672132, 36)': 16.7, '(2241550, 2241776, 226, 252.6192982456141, 501.2561403508776, 35)': 16.7, '(2735476, 2735912, 436, 263.6273972602741, 503.9022831050231, 33)': 16.7, '(5309974, 5310476, 502, 352.17142857142875, 489.3416666666668, 47)': 16.7, '(17033163, 17033284, 121, 479.2279835390952, 492.9979423868312, 101)': 16.7}"
fixation2,categorical,25673,51.5,,,,,,,,25673,
fixation20,categorical,5,100.0,,,,,,,,5,"{'(1565802, 1565983, 181, 203.55151515151516, 500.1022038567495, 61)': 20.0, '(2287128, 2287278, 150, 635.0157894736843, 502.9671052631577, 37)': 20.0, '(2241782, 2242156, 374, 249.5941489361703, 505.12180851063806, 36)': 20.0, '(2735514, 2735910, 396, 263.6819095477388, 503.5150753768848, 50)': 20.0, '(5310714, 5310966, 252, 344.8858267716534, 481.67716535433095, 48)': 20.0}"
fixation21,categorical,2,100.0,,,,,,,,2,"{'(2287844, 2288050, 206, 663.5403846153845, 522.2961538461536, 39)': 50.0, '(5310982, 5311168, 186, 395.6191489361702, 500.7680851063832, 49)': 50.0}"
fixation22,categorical,2,100.0,,,,,,,,2,"{'(2288054, 2288116, 62, 661.2937499999998, 518.1, 40)': 50.0, '(5311646, 5311834, 188, 408.47684210526336, 522.418947368421, 51)': 50.0}"
fixation23,categorical,2,100.0,,,,,,,,2,"{'(2288210, 2288656, 446, 629.5089285714287, 498.4616071428573, 41)': 50.0, '(5311858, 5312044, 186, 378.705319148936, 484.653191489362, 52)': 50.0}"
fixation24,categorical,2,100.0,,,,,,,,2,"{'(2288696, 2288844, 148, 679.324, 506.5133333333336, 42)': 50.0, '(5312398, 5312768, 370, 326.2037634408601, 476.2580645161288, 54)': 50.0}"
fixation25,categorical,2,100.0,,,,,,,,2,"{'(2289492, 2289558, 66, 625.9735294117647, 515.8999999999999, 45)': 50.0, '(5312782, 5313056, 274, 360.03840579710163, 479.4108695652173, 55)': 50.0}"
fixation26,categorical,2,100.0,,,,,,,,2,"{'(2289596, 2289790, 194, 627.4173469387757, 515.7897959183672, 46)': 50.0, '(5313070, 5313260, 190, 400.8166666666668, 487.4812499999999, 56)': 50.0}"
fixation27,categorical,2,100.0,,,,,,,,2,"{'(2289826, 2290100, 274, 675.396376811594, 514.61884057971, 47)': 50.0, '(5313526, 5313676, 150, 327.46973684210536, 464.8276315789474, 57)': 50.0}"
fixation28,categorical,2,100.0,,,,,,,,2,"{'(2290132, 2290284, 152, 645.7610389610388, 524.3740259740262, 48)': 50.0, '(5313694, 5313974, 280, 393.5269503546101, 505.172340425532, 58)': 50.0}"
fixation29,categorical,1,100.0,,,,,,,,1,"{'(2290292, 2290572, 280, 644.7326241134753, 498.9567375886526, 49)': 100.0}"
fixation3,categorical,12817,75.8,,,,,,,,12817,
fixation4,categorical,6365,88.0,,,,,,,,6365,
fixation5,categorical,3174,94.0,,,,,,,,3174,
fixation6,categorical,1712,96.8,,,,,,,,1712,
fixation7,categorical,935,98.2,,,,,,,,935,
fixation8,categorical,551,99.0,,,,,,,,551,
fixation9,categorical,344,99.4,,,,,,,,344,
fixation_order_list,categorical,52953,0.0,,,,,,,,5870,
gaze_duration,numeric,52953,0.0,0.0,0.0,173.33705361358184,169.0,376.0,2865.0,173.24343697514544,1004,
go_past_time,numeric,52953,0.0,0.0,0.0,247.16423998640303,209.0,487.0,8154.0,222.37489911973898,1318,
incoming saccade1,categorical,40688,23.2,,,,,,,,40659,
incoming saccade10,categorical,78,99.9,,,,,,,,78,
incoming saccade11,categorical,45,99.9,,,,,,,,45,
incoming saccade12,categorical,31,99.9,,,,,,,,31,
incoming saccade13,categorical,19,100.0,,,,,,,,19,
incoming saccade14,categorical,8,100.0,,,,,,,,8,"{'(1561209, 1561239, 30, [17.8, 486.2], [127.1, 511.0], 109.3)': 12.5, '(1240437, 1240460, 23, [147.1, 524.7], [287.2, 519.6], 140.1)': 12.5, '(5309948, 5309978, 30, [234.5, 339.3], [350.4, 471.7], 115.89999999999998)': 12.5, '(5283164, 5283182, 18, [246.8, 484.7], [365.4, 488.9], 118.59999999999997)': 12.5, '(5249700, 5249762, 62, [800.1, 497.6], [172.5, 478.2], -627.6)': 12.5, '(1817424, 1817442, 18, [267.3, 497.4], [369.8, 493.2], 102.5)': 12.5, '(16947649, 16947664, 15, [215.5, 502.4], [287.6, 502.6], 72.10000000000002)': 12.5, '(17023975, 17023996, 21, [147.8, 497.1], [305.3, 485.3], 157.5)': 12.5}"
incoming saccade15,categorical,6,100.0,,,,,,,,6,"{'(1562178, 1562212, 34, [23.5, 493.0], [148.0, 503.5], 124.5)': 16.7, '(1247450, 1247475, 25, [428.5, 496.1], [264.2, 501.8], -164.3)': 16.7, '(5310668, 5310718, 50, [78.6, 425.4], [341.7, 469.3], 263.1)': 16.7, '(5285058, 5285108, 50, [132.8, 374.8], [332.7, 477.3], 199.89999999999998)': 16.7, '(5251336, 5251402, 66, [882.0, 498.5], [179.7, 474.5], -702.3)': 16.7, '(17027523, 17027544, 21, [439.4, 486.2], [299.2, 493.3], -140.2)': 16.7}"
incoming saccade16,categorical,5,100.0,,,,,,,,5,"{'(1562514, 1562537, 23, [192.8, 696.8], [211.5, 505.9], 18.69999999999999)': 20.0, '(5311594, 5311648, 54, [188.1, 494.0], [403.9, 518.7], 215.79999999999998)': 20.0, '(5286526, 5286574, 48, [64.0, 498.4], [379.2, 487.0], 315.2)': 20.0, '(5251922, 5251964, 42, [624.5, 489.9], [169.1, 476.1], -455.4)': 20.0, '(17028145, 17028161, 16, [177.9, 486.1], [287.0, 484.1], 109.1)': 20.0}"
incoming saccade17,categorical,4,100.0,,,,,,,,4,"{'(1565767, 1565795, 28, [407.9, 509.2], [211.0, 502.5], -196.89999999999998)': 25.0, '(5312370, 5312398, 28, [113.2, 475.3], [329.6, 459.9], 216.40000000000003)': 25.0, '(5286926, 5286962, 36, [271.9, 339.6], [368.4, 493.8], 96.5)': 25.0, '(17030872, 17030885, 13, [371.7, 506.4], [298.6, 512.2], -73.09999999999997)': 25.0}"
incoming saccade2,categorical,20709,60.9,,,,,,,,20704,
incoming saccade3,categorical,8862,83.3,,,,,,,,8862,
incoming saccade4,categorical,3770,92.9,,,,,,,,3769,
incoming saccade5,categorical,1664,96.9,,,,,,,,1664,
incoming saccade6,categorical,777,98.5,,,,,,,,777,
incoming saccade7,categorical,394,99.3,,,,,,,,394,
incoming saccade8,categorical,199,99.6,,,,,,,,199,
incoming saccade9,categorical,117,99.8,,,,,,,,117,
inword saccade1,categorical,12527,76.3,,,,,,,,12527,
inword saccade10,categorical,2,100.0,,,,,,,,2,"{'(17145004, 17145017, 13, [274.3, 514.0], [313.1, 524.9], 38.80000000000001)': 50.0, '(5310236, 5310248, 12, [346.7, 492.1], [355.9, 496.1], 9.199999999999989)': 50.0}"
