column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,431287,0.0,101.0,133.0,226.3465070822909,204.0,341.0,999.0,99.28247371347959,893,
CURRENT_FIX_INDEX,numeric,431287,0.0,1.0,8.0,55.90379723942525,44.0,116.0,483.0,48.59816720595995,483,
CURRENT_FIX_INTEREST_AREAS,categorical,431287,0.0,,,,,,,,5993,
CURRENT_FIX_INTEREST_AREA_DATA,categorical,389043,9.8,,,,,,,,16553,
CURRENT_FIX_INTEREST_AREA_DWELL_TIME,numeric,389043,9.8,101.0,138.0,300.1127458918423,229.0,531.0,5680.0,233.29061975347608,1687,
CURRENT_FIX_INTEREST_AREA_FIX_COUNT,numeric,389043,9.8,1.0,1.0,1.2954249273216585,1.0,2.0,13.0,0.6863733166173063,12,"{1.0: 78.4, 2.0: 16.4, 3.0: 3.6, 4.0: 1.0, 5.0: 0.3, 6.0: 0.1, 7.0: 0.1, 8.0: 0.0, 9.0: 0.0, 10.0: 0.0, 11.0: 0.0, 13.0: 0.0}"
CURRENT_FIX_INTEREST_AREA_ID,numeric,389043,9.8,1.0,29.0,182.63972362952168,158.0,369.0,677.0,130.23654568027584,676,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,389043,9.8,1.0,29.0,182.63972362952168,158.0,369.0,677.0,130.23654568027584,676,
CURRENT_FIX_INTEREST_AREA_LABEL,categorical,389043,9.8,,,,,,,,105,
CURRENT_FIX_INTEREST_AREA_RUN_ID,numeric,389043,9.8,1.0,1.0,1.1381723871140208,1.0,2.0,11.0,0.43956460175180306,11,"{1.0: 88.8, 2.0: 9.4, 3.0: 1.4, 4.0: 0.3, 5.0: 0.1, 6.0: 0.0, 7.0: 0.0, 8.0: 0.0, 9.0: 0.0, 10.0: 0.0, 11.0: 0.0}"
CURRENT_FIX_LABEL,categorical,431287,0.0,,,,,,,,58654,
CURRENT_FIX_NEAREST_INTEREST_AREA,numeric,431279,0.0,1.0,26.0,181.684603238275,157.0,370.0,762.0,132.4723210057242,677,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,431279,0.0,0.0,0.14,0.5947928603062057,0.46,0.95,42.73,0.9274703593962921,1399,
CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,categorical,431279,0.0,,,,,,,,105,
CURRENT_FIX_REFIX_INTEREST_AREA,numeric,389043,9.8,0.0,0.0,6.631994406787938,0.0,7.0,475.0,26.218238417611584,373,
CURRENT_FIX_REFIX_PREV_INTEREST_AREA,numeric,389043,9.8,0.0,0.0,0.7029351511272532,1.0,1.0,1.0,0.45696593000405183,2,"{1.0: 70.3, 0.0: 29.7}"
CURRENT_FIX_RUN_INDEX,numeric,389043,9.8,1.0,1.0,1.007500456247767,1.0,1.0,4.0,0.08804923921273078,4,"{1.0: 99.3, 2.0: 0.7, 3.0: 0.0, 4.0: 0.0}"
CURRENT_FIX_RUN_SIZE,numeric,389043,9.8,1.0,1.0,1.015000912495534,1.0,1.0,4.0,0.12530472082978336,4,"{1.0: 98.5, 2.0: 1.4, 3.0: 0.0, 4.0: 0.0}"
CURRENT_FIX_X,numeric,431287,0.0,-1563.8,300.2,861.0718621242928,838.1,1474.2,3270.0,425.1310131558862,16384,
CURRENT_FIX_Y,numeric,431287,0.0,-932.5,153.3,342.8992529336613,306.4,577.4,2147.9,170.97827512556537,10423,
EYE_USED,categorical,431287,0.0,,,,,,,,2,"{'""RIGHT""': 96.6, '""LEFT""': 3.4}"
NEXT_FIX_INTEREST_AREAS,categorical,425745,1.3,,,,,,,,5991,
NEXT_FIX_INTEREST_AREA_DATA,categorical,386995,10.3,,,,,,,,16544,
