column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
char_IA_ids,categorical,335203,0.0,,,,,,,,6923,
landing_position,numeric,208901,37.7,0.0,0.0,1.7194699881762174,1.0,4.0,37.0,1.919134832446158,28,
number_of_fixations,numeric,335203,0.0,0.0,0.0,1.0565209738576324,1.0,2.0,65.0,1.3247817440091814,35,
paragraphId,numeric,335203,0.0,0.0,1.0,10.992309138044707,10.0,22.0,31.0,7.598869932177397,32,
part,numeric,335203,0.0,1.0,1.0,1.4836770553962824,1.0,2.0,2.0,0.49973423587297233,2,"{1: 51.6, 2: 48.4}"
sentenceId,numeric,335203,0.0,1.0,195.0,932.5916832486582,883.0,1706.0,2031.0,545.1527400320235,1986,
source_file,numeric,335203,0.0,1.0,5.0,30.05223103611841,30.0,53.0,58.0,17.745665352080017,57,
speechId,numeric,335203,0.0,1125.0,1317.0,13473.924448766867,7946.0,26670.0,202209.0,19956.27908307152,32,
trialId,numeric,335203,0.0,11.0,19.0,61.99380673800652,56.0,112.0,189.0,36.32892623991659,179,
word,categorical,335203,0.0,,,,,,,,7951,
wordId,numeric,335203,0.0,0.0,7.0,40.66333833527743,36.0,82.0,163.0,28.933336444350314,164,
word_first_fix_dur,numeric,208901,37.7,101.0,132.0,221.83059439638873,203.0,328.0,999.0,91.4849601909764,849,
word_first_pass_dur,numeric,208901,37.7,101.0,136.0,269.09832408652903,220.0,442.0,9052.0,193.20109325211308,1793,
word_go_past_time,numeric,208901,37.7,101.0,144.0,412.9303880785635,243.0,675.0,73181.0,989.6344689836701,4429,
word_mean_fix_dur,numeric,208901,37.7,101.0,141.0,221.87148761312108,206.0,317.5,995.0,81.45186706266406,5170,
word_mean_sacc_dur,numeric,208243,37.9,1.0,18.666666666666668,36.87190840891056,26.0,63.5,12661.833333333334,60.1653144132357,2895,
word_peak_sacc_velocity,numeric,208243,37.9,0.0,95.73,216.40875539633984,177.86,397.0980000000002,4036.54,140.25552882849794,48521,
word_total_fix_dur,numeric,208901,37.7,101.0,148.0,381.59420012350347,272.0,714.0,19838.0,362.78535993624814,2896,
