column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
TRIAL_ID,numeric,425527,0.0,1.0,4.0,21.12007933691634,21.0,38.0,43.0,12.153494312442795,43,
decoding_strategy,categorical,425527,0.0,,,,,,,,5,"{'topk': 21.6, 'topp': 21.5, 'sampling': 21.4, 'greedy_search': 21.2, 'beam_search': 14.4}"
fix_mean_x,numeric,425527,0.0,-775.6048780487805,181.4281572881858,577.2679442558788,543.523897911833,1018.9042300653596,2096.889150943396,309.0579653801333,425287,
fix_mean_y,numeric,425527,0.0,-765.8926315789475,226.858216485773,412.94932169935413,386.8483050847457,610.8148039245194,2027.534817813765,160.056625483706,425078,
fixation_duration,numeric,425527,0.0,20.0,115.0,215.877038354793,195.5,331.0,6078.5,113.68811895162823,2454,
fixation_index,numeric,425527,0.0,1.0,10.0,54.933983037504085,49.0,107.0,314.0,38.73582701666116,314,
item_id,categorical,425527,0.0,,,,,,,,42,
model,categorical,425527,0.0,,,,,,,,3,"{'mistral': 37.2, 'wizardlm': 35.0, 'phi2': 27.8}"
subject_id,categorical,425527,0.0,,,,,,,,106,
word,categorical,425527,0.0,,,,,,,,7117,
word_id,categorical,425527,0.0,,,,,,,,131,
