column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
FD,numeric,383408,0.0,0.0,0.0,145.5909214205233,158.0,296.0,2537.0,133.796109887734,1151,
FFD,numeric,383408,0.0,0.0,0.0,102.61392824354213,0.0,270.0,2329.0,131.30087297417768,1100,
FPF,numeric,383408,0.0,0.0,0.0,0.46269509243416934,0.0,1.0,1.0,0.4986070519862323,2,"{0: 53.7, 1: 46.3}"
FPRT,numeric,383408,0.0,0.0,0.0,121.7815382047323,0.0,328.0,4517.0,167.2503763374904,1454,
FPReg,numeric,383408,0.0,0.0,0.0,0.10624452280599257,0.0,1.0,1.0,0.30815072910031754,2,"{0: 89.4, 1: 10.6}"
FRT,numeric,383408,0.0,0.0,0.0,170.09139871885824,168.0,366.0,4517.0,171.3327849139362,1525,
Fix,numeric,383408,0.0,0.0,0.0,0.6609486500020866,1.0,1.0,1.0,0.4733879133936811,2,"{1: 66.1, 0: 33.9}"
POS,categorical,383408,0.0,,,,,,,,116,
RBRT,numeric,383408,0.0,0.0,0.0,132.36735279389057,0.0,361.0,4517.0,186.76189935880964,1624,
RPD_exc,numeric,383408,0.0,0.0,0.0,89.87575898259817,0.0,122.0,28139.0,523.5675279091217,4437,
RPD_inc,numeric,383408,0.0,0.0,0.0,222.24311177648875,0.0,485.0,29371.0,597.4369532457716,4902,
RR,numeric,383408,0.0,0.0,0.0,0.3190622000584234,0.0,1.0,1.0,0.4661138050010618,2,"{0: 68.1, 1: 31.9}"
RRT,numeric,383408,0.0,0.0,0.0,100.46157357175646,0.0,331.0,8701.0,197.39754095244456,1856,
SFD,numeric,383408,0.0,0.0,0.0,85.74557129741684,0.0,258.0,2329.0,127.12510209649302,1080,
SL_in,numeric,383408,0.0,-117.0,0.0,1.1064766515044027,1.0,3.0,94.0,4.266616468633926,176,
SL_out,numeric,383408,0.0,-123.0,-1.0,0.3936694070024621,1.0,2.0,95.0,4.922878220312409,183,
TFC,numeric,383408,0.0,0.0,0.0,1.0371536326837207,1.0,2.0,24.0,1.0898443225103325,21,
TFT,numeric,383408,0.0,0.0,0.0,222.24311177648875,184.0,517.0,9456.0,253.7077739682001,2177,
TRC_in,numeric,383408,0.0,0.0,0.0,0.17914597504486082,0.0,1.0,8.0,0.446617681447828,9,"{0: 84.3, 1: 13.9, 2: 1.6, 3: 0.2, 4: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 7: 0.0}"
TRC_out,numeric,383408,0.0,0.0,0.0,0.1821427826232108,0.0,1.0,7.0,0.4466582061032639,8,"{0: 83.9, 1: 14.2, 2: 1.6, 3: 0.2, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0}"
TRIAL_ID,numeric,383408,0.0,1.0,5.0,21.480522054834537,21.0,38.0,43.0,12.123961926913902,43,
decoding_strategy,categorical,383408,0.0,,,,,,,,5,"{'topk': 21.6, 'topp': 21.5, 'greedy_search': 21.3, 'sampling': 21.3, 'beam_search': 14.3}"
dependency_tag,categorical,383408,0.0,,,,,,,,204,
distance_to_head,numeric,383408,0.0,0.0,1.0,3.3602428744314152,2.0,8.0,73.0,5.031140395227904,62,
item_id,categorical,383408,0.0,,,,,,,,42,
last_in_line,numeric,383408,0.0,0.0,0.0,0.1029582064015357,0.0,1.0,1.0,0.30390468081826316,2,"{0: 89.7, 1: 10.3}"
list,numeric,383408,0.0,1.0,2.0,7.408564766515044,7.0,13.0,14.0,4.035719022393497,14,"{10: 8.0, 14: 7.7, 6: 7.7, 7: 7.7, 2: 7.6, 4: 7.5, 9: 7.4, 1: 7.3, 3: 7.2, 12: 6.7, 5: 6.5, 8: 6.5, 13: 6.4, 11: 5.7}"
model,categorical,383408,0.0,,,,,,,,3,"{'mistral': 37.3, 'wizardlm': 34.9, 'phi2': 27.8}"
n_dep_left,numeric,383408,0.0,0.0,0.0,0.501645766389851,0.0,2.0,9.0,0.8961247064016994,9,"{0: 68.6, 1: 18.7, 2: 8.5, 3: 2.7, 4: 1.0, 5: 0.3, 6: 0.1, 7: 0.0, 9: 0.0}"
n_dep_right,numeric,383408,0.0,0.0,0.0,0.6062940783708217,0.0,2.0,12.0,0.9833795138929224,11,"{0: 62.0, 1: 24.4, 2: 8.1, 3: 3.2, 4: 1.7, 5: 0.5, 6: 0.1, 7: 0.0, 8: 0.0, 9: 0.0, 12: 0.0}"
subcategory,categorical,195331,49.1,,,,,,,,5,"{'argument': 31.7, 'description': 25.6, 'story': 15.7, 'dialogue': 14.6, 'poem': 12.5}"
subject_id,categorical,383408,0.0,,,,,,,,106,
surprisal_gpt2,numeric,383408,0.0,0.0,0.352576732635498,3.311801658427753,2.603578329086304,7.113018035888672,21.416412353515625,2.857298942603167,43834,
surprisal_gpt2-large,numeric,383408,0.0,0.0,0.2098288387060165,2.7720760769251376,2.049520969390869,6.275076866149902,21.416412353515625,2.6304439033030014,43466,
surprisal_llama2-13b,numeric,383408,0.0,0.0,0.0513222925364971,2.147920236976704,1.2564823627471924,4.999511241912842,21.416412353515625,3.004299578421166,43393,
surprisal_llama2-7b,numeric,383408,0.0,0.0,0.0571947284042835,2.2391912980801454,1.345895290374756,5.234898567199707,21.416412353515625,3.00203494576704,43388,
surprisal_mistral-base,numeric,383408,0.0,0.0,0.050272769480943655,2.1373763054631425,1.2451918125152588,4.928213596343994,21.416412353515625,3.001406117422928,43348,
surprisal_mistral-instruct,numeric,383408,0.0,0.0,0.0118200415745377,2.1293544734198364,0.8997224569320679,5.665720462799072,21.416412353515625,3.3082693320630527,42824,
surprisal_opt-1.3b,numeric,383408,0.0,0.0,0.2042646557092666,2.7794552822476244,1.9673064947128296,6.124135160446147,21.416412353515625,2.9488149420995384,43338,
surprisal_opt-350m,numeric,383408,0.0,0.0,0.2558178603649139,3.1621507016475348,2.3505656719207764,7.067846775054932,21.416412353515625,3.0095020110857282,43502,
surprisal_p_gpt2,numeric,383408,0.0,0.0,0.3682762682437897,3.399216272167885,2.6660780906677246,7.218381404876709,21.416412353515625,2.9758018625129963,43958,
surprisal_p_gpt2-large,numeric,383408,0.0,0.0,0.2143761664628982,2.8590708240702414,2.090285539627075,6.416932106018066,21.416412353515625,2.747230051514282,43277,
surprisal_p_llama2-13b,numeric,383408,0.0,0.0,0.0432793162763118,2.0034743906616694,1.1914688348770142,4.961472034454346,21.416412353515625,2.4661934295286434,43773,
surprisal_p_llama2-7b,numeric,383408,0.0,0.0,0.047426801174879,2.0751617692507027,1.2699546813964844,5.125881671905518,21.416412353515625,2.455528899399782,43819,
surprisal_p_mistral-base,numeric,383408,0.0,0.0,0.0425936579704284,1.9852797125631305,1.1692657470703125,4.880577564239502,21.416412353515625,2.4503909972073146,43795,
surprisal_p_mistral-instruct,numeric,383408,0.0,0.0,0.0159059818834066,2.1711066312938625,1.0090410709381104,5.918432235717773,21.416412353515625,3.051255885135033,43533,
surprisal_p_opt-1.3b,numeric,383408,0.0,0.0,0.2061528861522674,2.7516383981803085,2.006582021713257,6.232112884521484,21.416412353515625,2.6661926712380115,43167,
surprisal_p_opt-350m,numeric,383408,0.0,0.0,0.2540628612041473,3.1851273645228164,2.399172782897949,7.075199079513534,21.416412353515625,2.938782791117038,43198,
surprisal_p_phi2,numeric,383408,0.0,0.0,0.0238114409148693,2.076571105351923,1.045359492301941,5.416879177093506,21.416412353515625,2.858485223986789,43172,
surprisal_p_pythia-12b,numeric,383408,0.0,0.0,0.1705552339553833,2.467313927666046,1.7367186546325684,5.599435329437256,21.416412353515625,2.5514361975827846,43930,
surprisal_p_pythia-6.9b,numeric,383408,0.0,0.0,0.1819981932640075,2.5302491263185822,1.8175885677337649,5.7217698097229,21.416412353515625,2.5745653737591447,43544,
surprisal_phi2,numeric,383408,0.0,0.0,0.020247257500886903,1.9773117604642636,1.0506396293640137,5.175426006317139,21.416412353515625,2.583084945005659,43323,
surprisal_pythia-12b,numeric,383408,0.0,0.0,0.1705480962991714,2.4036267509202736,1.7414907217025757,5.461754369735718,21.416412353515625,2.3899197287632212,43498,
surprisal_pythia-6.9b,numeric,383408,0.0,0.0,0.1793148815631866,2.4567080606280323,1.790560007095337,5.606741905212402,21.416412353515625,2.4136520798647014,43348,
task,categorical,383408,0.0,,,,,,,,6,"{'non-fiction': 29.1, 'summarization': 17.2, 'article_synopsis': 17.0, 'fiction': 15.4, 'words_given': 14.9, 'poetry': 6.4}"
type,categorical,383408,0.0,,,,,,,,2,"{'unconstrained': 50.9, 'constrained': 49.1}"
word,categorical,383408,0.0,,,,,,,,7118,
word_freq,numeric,383408,0.0,0.0,6.92e-06,0.008287783824473188,0.000372,0.0257,0.0537,0.014620702624881745,602,
word_id,numeric,383408,0.0,0.0,8.0,45.238865647039184,43.0,85.0,129.0,28.541586796649113,130,
word_length_with_punct,numeric,383408,0.0,1.0,2.0,5.161710240787881,5.0,9.0,20.0,2.8854610647135996,20,
word_length_without_punct,numeric,383408,0.0,0.0,2.0,5.000855485540208,4.0,9.0,19.0,2.7722175601881394,20,
zipf_freq,numeric,383408,0.0,0.0,3.84,5.65970063222468,5.57,7.41,7.73,1.4191413391884513,484,
