column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
aoi_line,categorical,48011,1.4,,,,,,,,10,"{'line_002': 14.0, 'line_005': 13.6, 'line_004': 13.5, 'line_003': 13.4, 'line_006': 13.1, 'line_001': 12.4, 'line_007': 11.7, 'line_010': 3.0, 'line_009': 2.7, 'line_008': 2.6}"
aoi_subline,categorical,48005,1.4,,,,,,,,134,
disp_x,numeric,48675,0.0,0.0,0.3013459823928852,0.7545918093580875,0.6670832833301628,1.3032641221538723,14.174037962180215,0.45104171825178635,25431,
disp_y,numeric,48675,0.0,0.0,0.31252690172172326,0.7167919537507629,0.6455297039010764,1.1850427389853477,12.643060273358063,0.4030584639242825,23794,
duration_ms,numeric,48675,0.0,40.0,132.03099999995902,556.0463749768878,399.6029999998864,1191.8044000000343,7319.420000000158,518.2708863126137,41943,
end_ms,numeric,48675,0.0,231609.903,389164.42339999997,1679347.8311503644,1066596.614,2396345.505399999,14444781.623,2397577.4857697506,48675,
eye,categorical,48675,0.0,,,,,,,,1,{'b': 100.0}
fix_x,numeric,48675,0.0,53.32,361.264,826.683317360041,826.7549999999999,1301.887,1744.7275,340.82079672252996,46192,
fix_y,numeric,48675,0.0,160.5,198.5,481.4038931689779,474.5,750.5,841.5,192.66942194177952,20,
id,numeric,48675,0.0,0.0,23.0,131.75663071391884,115.0,258.0,634.0,98.164668562955,635,
orig_fix_x,numeric,48675,0.0,53.32,361.264,826.683317360041,826.7549999999999,1301.887,1744.7275,340.82079672252996,46192,
orig_fix_y,numeric,48675,0.0,-36.185,208.90200000000002,483.07841787365174,473.17,759.4875000000001,1144.81,198.67323799522367,44080,
sid,numeric,48675,0.0,1003.0,1040.0,1390.6831227529533,1312.0,1879.0,1996.0,301.15974474981715,70,
source_file,categorical,48675,0.0,,,,,,,,70,
start_ms,numeric,48675,0.0,231497.929,388756.92480000004,1678795.7844949565,1066075.278,2395813.5383999995,14444561.641,2397573.024669834,48675,
stimfile,categorical,48675,0.0,,,,,,,,3,"{'s7_stimuli_t5.jpg': 42.1, 's7_stimuli_t4.jpg': 32.8, 's7_stimuli_t1.jpg': 25.1}"
task,categorical,48675,0.0,,,,,,,,3,"{'T5_Pseudo_Text': 42.1, 'T4_Meaningful_Text': 32.8, 'T1_Syllables': 25.1}"
trialid,numeric,48675,0.0,12.0,12.0,124.77869542886492,158.0,166.0,169.0,65.3776262037428,6,"{166: 40.8, 158: 31.8, 12: 24.7, 169: 1.3, 161: 1.0, 15: 0.4}"
