column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
duration,numeric,183243,0.0,2.0,18.0,112.33789558127732,47.0,258.0,8720.0,116.76968043525662,607,
endSaccadeX,numeric,98690,46.1,-696.0,340.0,803.4495693585976,762.0,1350.0,2202.0,366.544154871006,1548,
endSaccadeY,numeric,98690,46.1,-960.0,446.0,566.9019049549094,592.0,680.0,1609.0,134.92167759865953,1416,
eventIdx,numeric,183243,0.0,1.0,7.0,39.67763570777601,34.0,80.0,275.0,30.551086245449007,275,
eventType,categorical,183243,0.0,,,,,,,,2,"{'Saccade': 53.9, 'Fixation': 46.1}"
meanPupilDiameter,numeric,183243,0.0,0.438,0.60072,0.6821098499260544,0.67943,0.76882,1.11743,0.0707387602055898,34186,
meanX,numeric,84553,53.9,61.0,345.0,798.6324672099157,758.0,1350.0,1872.0,366.1397605837647,1490,
meanY,numeric,84553,53.9,-947.0,448.0,565.7089163010183,590.0,674.0,1397.0,113.64498735872426,993,
source_file,numeric,183243,0.0,1.0,3.0,12.916962721631931,12.0,24.0,27.0,7.805319447136401,25,
startSaccadeX,numeric,98690,46.1,-14.0,346.0,800.5160198601682,755.0,1346.0,2202.0,364.43494258737076,1537,
startSaccadeY,numeric,98690,46.1,-944.0,448.0,565.7415644948829,590.0,677.0,1438.0,129.50852747770324,1352,
starttime,numeric,183243,0.0,63419658.0,311738788.4,821151701.767893,768695131.0,1377762183.4,2213729001.0,426313893.2991978,183233,
