column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
blink,numeric,660778,0.0,0.0,0.0,0.1080877389985744,0.0,1.0,1.0,0.3104914259248377,2,"{0.0: 89.2, 1.0: 10.8}"
cond,numeric,660778,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,{1.0: 100.0}
dur,numeric,505884,23.4,1.0,153.0,388.09847909797503,293.0,715.0,15138.0,330.56013890040043,3414,
firstfix.cland,numeric,505884,23.4,-8.0,-3.0,-0.8183012311122708,-0.5,1.5,7.0,1.816394807345764,31,
firstfix.dur,numeric,505884,23.4,1.0,124.0,224.0973464272442,209.0,338.0,4986.0,99.04924964029723,1185,
firstfix.land,numeric,505884,23.4,0.0,0.0,2.4677178958022,2.0,5.0,15.0,1.942649745911361,16,
firstfix.launch,numeric,500828,24.2,-110.0,-5.0,-1.5043448050029151,4.0,10.0,108.0,24.37564076758368,218,
firstfix.sac.in,numeric,500828,24.2,-112.0,-7.0,0.04086033528476842,7.0,12.0,111.0,25.756625746259807,222,
firstfix.sac.out,numeric,504231,23.7,-112.0,-8.0,-0.45737965337315634,5.0,11.0,107.0,21.829850552424478,220,
firstrun.dur,numeric,505884,23.4,1.0,135.0,281.73847166544107,236.0,469.0,6932.0,188.06863859337514,2245,
firstrun.gopast,numeric,501077,24.2,0.0,0.0,360.6272628757656,239.0,671.0,73604.0,922.9779089758055,5908,
firstrun.gopast.sel,numeric,501077,24.2,0.0,0.0,251.882089978187,223.0,501.0,9823.0,233.82563433420063,2326,
firstrun.nfix,numeric,505884,23.4,1.0,1.0,1.2716274877244587,1.0,2.0,25.0,0.6438330476966607,24,
firstrun.refix,numeric,505884,23.4,0.0,0.0,0.2057685161025057,0.0,1.0,1.0,0.40426248519753333,2,"{0.0: 79.4, 1.0: 20.6}"
firstrun.reg.in,numeric,505884,23.4,0.0,0.0,0.11179044998458144,0.0,1.0,1.0,0.3151087773358879,2,"{0.0: 88.8, 1.0: 11.2}"
firstrun.reg.out,numeric,505884,23.4,0.0,0.0,0.19412948422958623,0.0,1.0,1.0,0.3955294386391309,2,"{0.0: 80.6, 1.0: 19.4}"
firstrun.skip,numeric,660778,0.0,0.0,0.0,0.39776596678460846,0.0,1.0,1.0,0.4894369877497461,2,"{0.0: 60.2, 1.0: 39.8}"
itemid,categorical,660778,0.0,,,,,,,,12,"{'5': 10.9, '1': 10.3, '7': 10.1, '4': 8.8, '6': 8.4, '12': 8.2, '8': 8.1, '10': 7.5, '3': 7.1, '9': 7.1, '11': 7.0, '2': 6.4}"
lang,categorical,660778,0.0,,,,,,,,12,"{'ee': 11.7, 'fi': 11.2, 'ge': 9.3, 'it': 9.3, 'en': 9.1, 'gr': 8.1, 'ru': 8.0, 'he': 7.5, 'du': 7.3, 'sp': 7.3, 'no': 7.2, 'tr': 3.9}"
nfix,numeric,505884,23.4,1.0,1.0,1.752492666302947,1.0,3.0,53.0,1.2766931022615189,38,
