column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,2485,99.8,0.0,1.0,2.2338028169014086,1.0,5.0,22.0,2.3922143377535665,20,
CURENT_FIX_START,numeric,1200876,0.0,1.0,4467.0,29029.241226404723,23837.0,58364.0,234013.0,24351.557041525743,111796,
CURRENT_FIX_BLINK_AROUND,numeric,1200876,0.0,0.0,0.0,0.09473251193295561,0.0,0.0,1.0,0.2928452398946844,2,"{0.0: 90.5, 1.0: 9.5}"
CURRENT_FIX_DURATION,numeric,1200876,0.0,1.0,124.0,226.95416595885004,207.0,349.0,10553.0,109.5135292281279,1573,
CURRENT_FIX_END,numeric,1200876,0.0,1.0,4686.0,29255.195392363574,24059.0,58602.0,234202.0,24359.044735182175,112113,
CURRENT_FIX_INDEX,numeric,1200876,0.0,1.0,19.0,109.22503572392154,93.0,215.0,801.0,85.226584985292,801,
CURRENT_FIX_INTEREST_AREA_FIX_COUNT,numeric,1127383,6.1,1.0,1.0,1.8732604625047566,1.0,3.0,46.0,1.6185115546745756,46,
CURRENT_FIX_INTEREST_AREA_ID,numeric,1127383,6.1,1.0,3.0,15.266615693158403,12.0,32.0,117.0,13.075443286370101,117,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,1200876,0.0,-1.0,12.0,68.5234045813223,66.0,128.0,187.0,43.29780520560644,188,
CURRENT_FIX_INTEREST_AREA_LABEL,categorical,1199771,0.1,,,,,,,,806,
CURRENT_FIX_LABEL,categorical,1199771,0.1,,,,,,,,806,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
CURRENT_FIX_PUPIL,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
CURRENT_FIX_PUPIL_SIZE,numeric,1128488,6.0,166.0,498.0,961.5752599939034,876.0,1538.0,3529.0,419.0866231804466,2945,
CURRENT_FIX_X,numeric,1200876,0.0,-3221.6,212.2,802.9731470193427,757.8,1501.2,3270.0,461.7552262007177,18212,
CURRENT_FIX_Y,numeric,1200876,0.0,-993.9,108.7,284.82444099140946,267.7,479.5,2744.8,147.03262206300047,9299,
IA_BOTTOM,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_DWELL_TIME,numeric,864318,28.0,1.0,176.0,607.3261727743724,426.0,1202.0,13391.0,626.3967664802558,3439,
IA_DWELL_TIME_%,numeric,864318,28.0,2.783499415465123e-05,0.004361714202325166,0.012773821865398821,0.010102957621563258,0.023855574122892003,0.2281494950487751,0.010217513086871651,431022,
IA_FIRST_FIXATION_DURATION,numeric,864318,28.0,1.0,125.0,227.99018301134535,209.0,350.0,10553.0,108.42419573700381,1257,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_FIRST_FIX_PROGRESSIVE,numeric,864318,28.0,0.0,0.0,0.7385765424299853,1.0,1.0,1.0,0.4394103512593225,2,"{1.0: 73.9, 0.0: 26.1}"
IA_FIRST_RUN_DWELL_TIME,numeric,864318,28.0,1.0,139.0,341.27199595519244,264.0,597.0,10553.0,293.57106855744547,2270,
IA_FIRST_RUN_FIXATION_COUNT,numeric,864318,28.0,1.0,1.0,1.4972001045911343,1.0,2.0,23.0,0.9937848831474941,19,
IA_FIRST_RUN_LANDING_POSITION,numeric,864318,28.0,0.0,0.0,6.548507378071497,2.0,7.0,239.9,16.505044198946788,1568,
IA_FIRST_RUN_LAUNCH_SITE,numeric,851903,29.1,-1120.0,-30.0,-7.579750394117642,5.0,13.0,1003.8,104.32340543326295,6690,
IA_FIXATION_%,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_FIXATION_COUNT,numeric,864318,28.0,1.0,1.0,2.660273186489232,2.0,5.0,46.0,2.357169423667164,35,
IA_LABEL,categorical,864318,28.0,,,,,,,,806,
IA_LAST_FIXATION_DURATION,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_LEFT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_REGRESSION_IN,numeric,864318,28.0,0.0,0.0,0.32541495144148336,0.0,1.0,1.0,0.46852995080440657,2,"{0.0: 67.5, 1.0: 32.5}"
IA_REGRESSION_IN_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_REGRESSION_IN_COUNT_sum,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_REGRESSION_OUT,numeric,864318,28.0,0.0,0.0,0.3207326470118637,0.0,1.0,1.0,0.4667584688215581,2,"{0.0: 67.9, 1.0: 32.1}"
IA_REGRESSION_OUT_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_REGRESSION_PATH_DURATION,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_RIGHT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_RUN_COUNT,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_SKIP,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
IA_TOP,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
LengthCategory,categorical,864318,28.0,,,,,,,,4,"{2: 58.9, 1: 32.0, 3: 8.3, 0: 0.8}"
NEXT_FIX_ANGLE,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_FIX_DISTANCE,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_FIX_INTEREST_AREA_INDEX,numeric,1199770,0.1,1.0,12.0,68.58749260274887,66.0,128.0,187.0,43.26625129202608,187,
NEXT_SAC_AMPLITUDE,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_ANGLE,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_AVG_VELOCITY,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_DURATION,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_END_X,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_END_Y,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_PEAK_VELOCITY,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_X,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
NEXT_SAC_START_Y,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
PARAGRAPH_RT,numeric,864318,28.0,10734668.0,12849525.0,16793230.957276143,15694051.0,20080133.0,20080133.0,2809283.6907002474,12,"{20080133.0: 10.4, 19669975.0: 10.1, 19728251.0: 10.1, 19075177.0: 9.6, 18127238.0: 9.2, 15694051.0: 8.2, 15263254.0: 7.8, 15106903.0: 7.7, 15158268.0: 7.6, 13809346.0: 7.1, 12849525.0: 6.6, 10734668.0: 5.5}"
PREVIOUS_FIX_ANGLE,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PREVIOUS_FIX_DISTANCE,numeric,1200876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
Relationship,categorical,2485,99.8,,,,,,,,37,
TAG,categorical,2485,99.8,,,,,,,,29,
TOWRE_nonword,numeric,1107906,7.7,0.0,31.0,47.95173236718639,50.0,62.0,63.0,11.971526688842847,51,
TOWRE_word,numeric,1107906,7.7,25.0,58.0,78.40631515670103,81.0,97.0,104.0,15.988977506251903,74,
TRIAL_IA_COUNT,numeric,864318,28.0,98.0,107.0,142.32307090677273,142.0,185.0,187.0,25.45752930568416,18,
Token,categorical,2485,99.8,,,,,,,,761,
Token_idx,numeric,2485,99.8,0.0,12.0,68.75613682092555,67.0,127.0,185.0,43.06709469299365,184,
Word,categorical,2485,99.8,,,,,,,,761,
Word_idx,numeric,2485,99.8,1.0,13.0,69.75613682092555,68.0,128.0,186.0,43.06709469299365,184,
blink,numeric,791930,34.1,0.0,0.0,0.17533115300594748,0.0,1.0,1.0,0.38025034171086275,2,"{0.0: 82.5, 1.0: 17.5}"
cft20,numeric,1110945,7.5,2.0,7.0,9.426452254612064,10.0,12.0,15.0,1.8974056037382516,14,"{10.0: 23.0, 11.0: 18.1, 9.0: 17.7, 8.0: 11.5, 12.0: 10.6, 7.0: 9.4, 6.0: 5.9, 13.0: 1.1, 5.0: 1.0, 14.0: 0.7, 4.0: 0.4, 3.0: 0.3, 2.0: 0.2, 15.0: 0.1}"
cond,numeric,1200876,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,{1.0: 100.0}
distance_to_head,numeric,2485,99.8,-22.0,-3.0,-0.1517102615694165,0.0,3.0,18.0,3.2697932655985693,33,
end_of_line,numeric,864318,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
entity_type,categorical,137,100.0,,,,,,,,9,"{'DATE': 29.9, 'PERSON': 21.2, 'GPE': 10.2, 'TIME': 8.8, 'ORG': 8.0, 'CARDINAL': 7.3, 'FAC': 6.6, 'ORDINAL': 6.6, 'NORP': 1.5}"
firstfix.cland,numeric,791930,34.1,-8.0,-3.5,-1.0457205813645145,-1.0,1.5,7.0,2.0051238906971594,31,
firstfix.sac.in,numeric,780672,35.0,-144.0,-13.0,-1.4474363112805377,7.0,13.0,135.0,28.399112145906642,252,
firstfix.sac.out,numeric,790185,34.2,-142.0,-8.0,-0.3745894948651265,4.0,10.0,135.0,18.682332578227445,255,
firstrun.gopast,numeric,784212,34.7,0.0,0.0,515.971625019765,287.0,1007.0,94187.0,1329.8412631977717,5853,
firstrun.gopast.sel,numeric,784212,34.7,0.0,0.0,331.7471104752286,260.0,685.0,10893.0,371.9929294645576,2407,
firstrun.refix,numeric,864318,28.0,0.0,0.0,0.32341800124491216,0.0,1.0,1.0,0.4677809860236605,2,"{0.0: 67.7, 1.0: 32.3}"
firstrun.reg.in,numeric,791930,34.1,0.0,0.0,0.09233391840187895,0.0,0.0,1.0,0.2894969287273442,2,"{0.0: 90.8, 1.0: 9.2}"
firstrun.reg.out,numeric,791930,34.1,0.0,0.0,0.26010758526637456,0.0,1.0,1.0,0.43869336941597076,2,"{0.0: 74.0, 1.0: 26.0}"
firstrun.skip,numeric,864318,28.0,0.0,0.0,0.2204790366508623,0.0,1.0,1.0,0.4145699336622775,2,"{0.0: 78.0, 1.0: 22.0}"
gpt2_surprisal,numeric,2485,99.8,0.0011635207338258624,0.6055452227592468,4.1872382164001465,3.5815513134002686,8.51975154876709,15.558481216430664,3.1259584426879883,1360,
head_direction,categorical,2485,99.8,,,,,,,,3,"{'RIGHT': 48.7, 'LEFT': 45.6, 'SELF': 5.6}"
head_word_index,numeric,2485,99.8,1.0,13.0,69.60442655935614,69.0,129.0,187.0,43.16030184227029,171,
ia.cland,numeric,1127383,6.1,-7.0,-2.0,0.3791635140852754,0.5,3.0,8.0,2.016277833590822,31,
ia.firstskip,numeric,1128488,6.0,0.0,0.0,0.13769397636483507,0.0,1.0,1.0,0.3445786564098163,2,"{0.0: 86.2, 1.0: 13.8}"
ia.land,numeric,1127383,6.1,1.0,1.0,3.9412639715163347,4.0,7.0,16.0,2.3384945803514054,16,
