column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,1658,99.7,0.0,1.0,2.1911942098914357,1.0,5.0,22.0,2.365563575397687,20,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,658820,0.0,1.0,14.0,71.97282717585988,70.0,133.0,187.0,43.926794296993776,187,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_BOTTOM,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_DWELL_TIME,numeric,499328,24.2,1.0,153.0,391.1192422615996,292.0,726.0,13391.0,334.3435518599922,3439,
IA_DWELL_TIME_%,numeric,499328,24.2,2.783499415465123e-05,0.003638850249612941,0.00955283901563702,0.007832559308261775,0.017298550395312896,0.2281494950487751,0.006754098217749626,431022,
IA_FIRST_FIXATION_DURATION,numeric,499328,24.2,1.0,129.0,229.219917569213,211.0,347.0,10553.0,105.68516159288554,1257,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIX_PROGRESSIVE,numeric,658820,0.0,0.0,0.0,0.5710801129291764,1.0,1.0,1.0,0.4949222053454687,2,"{1: 57.1, 0: 42.9}"
IA_FIRST_RUN_DWELL_TIME,numeric,499328,24.2,1.0,137.0,284.17979364265574,238.0,472.0,10553.0,188.84668272792874,2270,
IA_FIRST_RUN_FIXATION_COUNT,numeric,499328,24.2,1.0,1.0,1.2523832030248654,1.0,2.0,23.0,0.6080410865812933,19,
IA_FIRST_RUN_LANDING_POSITION,numeric,499328,24.2,0.0,0.0,5.910925884388618,2.0,7.0,239.9,14.853408277432694,1568,
IA_FIRST_RUN_LAUNCH_SITE,numeric,494424,25.0,-1120.0,-6.0,-4.7946135300875365,5.0,13.0,1003.8,93.05144074161674,6690,
IA_FIXATION_%,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_COUNT,numeric,499328,24.2,1.0,1.0,1.730962413483722,1.0,3.0,46.0,1.2683080225474692,35,
IA_LABEL,categorical,658820,0.0,,,,,,,,806,
IA_LAST_FIXATION_DURATION,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LEFT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_IN,numeric,499328,24.2,0.0,0.0,0.23085026275314022,0.0,1.0,1.0,0.4213772354261864,2,"{0.0: 76.9, 1.0: 23.1}"
IA_REGRESSION_IN_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT,numeric,499328,24.2,0.0,0.0,0.22322401307357087,0.0,1.0,1.0,0.4164077332596213,2,"{0.0: 77.7, 1.0: 22.3}"
IA_REGRESSION_OUT_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_PATH_DURATION,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RIGHT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RUN_COUNT,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SKIP,numeric,658820,0.0,0.0,0.0,0.24208736832518746,0.0,1.0,1.0,0.4283472340549739,2,"{0.0: 75.8, 1.0: 24.2}"
IA_TOP,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
LengthCategory,categorical,658820,0.0,,,,,,,,4,"{1: 48.2, 2: 45.2, 3: 4.2, 0: 2.4}"
NEXT_FIX_INTEREST_AREA_INDEX,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_AMPLITUDE,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_AVG_VELOCITY,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_DURATION,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_END_X,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_END_Y,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_X,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_Y,numeric,658820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PARAGRAPH_RT,numeric,658820,0.0,10734668.0,12849525.0,16772167.745106403,15694051.0,20080133.0,20080133.0,2840949.8526616865,12,"{20080133.0: 11.5, 19728251.0: 10.6, 19075177.0: 9.9, 15694051.0: 8.8, 19669975.0: 8.7, 18127238.0: 8.1, 15263254.0: 7.9, 15106903.0: 7.6, 13809346.0: 7.3, 15158268.0: 7.1, 12849525.0: 6.6, 10734668.0: 5.9}"
Relationship,categorical,1658,99.7,,,,,,,,39,
TAG,categorical,1658,99.7,,,,,,,,29,
TOWRE_nonword,numeric,606626,7.9,0.0,32.0,49.79493625396867,53.0,62.0,63.0,11.511921069105473,51,
TOWRE_word,numeric,606626,7.9,25.0,60.0,80.51537850339419,83.0,99.0,104.0,16.54601406840734,74,
TRIAL_IA_COUNT,numeric,658820,0.0,98.0,107.0,142.94565435171975,142.0,187.0,187.0,26.087678963041203,18,
Token,categorical,1658,99.7,,,,,,,,793,
Token_idx,numeric,1658,99.7,0.0,13.0,70.96260554885404,69.0,132.0,186.0,43.89457442758334,187,
Word,categorical,1658,99.7,,,,,,,,793,
Word_idx,numeric,1658,99.7,1.0,14.0,71.96260554885404,70.0,133.0,187.0,43.89457442758334,187,
