column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
blink,numeric,1408291,0.0,0.0,0.0,0.0946899468930782,0.0,0.0,1.0,0.29278630726398347,2,"{0.0: 90.5, 1.0: 9.5}"
cond,numeric,1408291,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,{1.0: 100.0}
dur,numeric,1408291,0.0,1.0,124.0,226.69508645585324,207.0,348.0,10553.0,109.3500694835803,1641,
fixid,numeric,1408291,0.0,1.0,19.0,107.86586792076353,93.0,211.0,801.0,83.17980239294454,801,
ia,categorical,1406950,0.1,,,,,,,,806,
ia.cland,numeric,1333849,5.3,-7.0,-2.0,0.378217474391779,0.5,3.0,8.0,2.016555646481622,31,
ia.firstskip,numeric,1335190,5.2,0.0,0.0,0.14093949175772735,0.0,1.0,1.0,0.3479592535071597,2,"{0.0: 85.9, 1.0: 14.1}"
ia.fix,numeric,1333849,5.3,1.0,1.0,1.8564402717249104,1.0,3.0,46.0,1.575145290383435,46,
ia.land,numeric,1333849,5.3,1.0,1.0,3.9399639689350145,4.0,7.0,16.0,2.3379340623355582,16,
ia.launch,numeric,1325683,5.9,-140.0,-6.0,-1.7743185965272241,2.0,9.0,136.0,20.403318537305402,274,
ia.refix,numeric,1335190,5.2,0.0,0.0,0.1937866520869689,0.0,1.0,1.0,0.39526383919109076,2,"{0.0: 80.6, 1.0: 19.4}"
ia.reg.in,numeric,1333849,5.3,0.0,0.0,0.16004285342643731,0.0,1.0,1.0,0.3666459317604832,2,"{0.0: 84.0, 1.0: 16.0}"
ia.reg.in.from,numeric,213473,84.8,2.0,15.0,71.96036501103184,70.0,132.0,187.0,44.027595012071956,186,
ia.reg.out,numeric,1333849,5.3,0.0,0.0,0.16004285342643731,0.0,1.0,1.0,0.3666459317604833,2,"{0.0: 84.0, 1.0: 16.0}"
ia.reg.out.to,numeric,213473,84.8,1.0,10.0,67.09852768265776,64.0,126.0,186.0,43.87949466685772,186,
ia.run,numeric,1333849,5.3,1.0,1.0,1.4156932306430488,1.0,2.0,19.0,0.809097099828582,19,
ia.run.fix,numeric,1333849,5.3,1.0,1.0,1.279933485724396,1.0,2.0,42.0,0.7377737343400552,42,
ia.runid,numeric,1333849,5.3,1.0,3.0,15.29012279500903,12.0,32.0,117.0,12.968973175398814,117,
ianum,numeric,1406950,0.1,1.0,12.0,68.6281893457479,66.0,128.0,187.0,43.29357882972225,187,
itemid,categorical,1408291,0.0,,,,,,,,12,"{'5': 10.0, '12': 10.0, '7': 9.9, '4': 9.8, '1': 9.3, '6': 8.2, '8': 8.1, '11': 7.8, '10': 7.7, '9': 7.0, '3': 6.6, '2': 5.7}"
lang,categorical,1408291,0.0,,,,,,,,16,
letter,categorical,1333849,5.3,,,,,,,,64,
letternum,numeric,1333849,5.3,1.0,70.0,406.1741823849626,389.0,774.0,1091.0,258.7043256920033,1091,
line,numeric,1335190,5.2,1.0,1.0,4.511411110029284,4.0,8.0,16.0,2.682776435471182,16,
line.change,numeric,1333849,5.3,-15.0,0.0,0.028318797704987596,0.0,0.0,13.0,0.4348758286959312,29,
line.let,numeric,1333849,5.3,1.0,9.0,50.14027749767777,47.0,96.0,147.0,32.11903140417571,147,
line.word,numeric,1333849,5.3,1.0,2.0,8.90177298929639,8.0,17.0,28.0,5.489406767433353,28,
ps,numeric,1335190,5.2,166.0,509.0,980.7796770497083,895.0,1558.0,3924.0,427.289855552588,3192,
sac.in,numeric,1325683,5.9,-144.0,-8.0,0.023372103285627107,6.0,12.0,139.0,22.172589715243635,277,
sac.out,numeric,1325903,5.9,-144.0,-8.0,-0.032817634472506664,6.0,12.0,139.0,22.179940356317275,276,
sent,categorical,1333849,5.3,,,,,,,,93,
sent.firstskip,numeric,1335190,5.2,0.0,0.0,0.0028520285502437854,0.0,0.0,1.0,0.05332819716949819,2,"{0.0: 99.7, 1.0: 0.3}"
sent.fix,numeric,1333849,5.3,1.0,3.0,17.981502403945274,13.0,38.0,254.0,17.37186867247264,254,
sent.nwords,numeric,1333849,5.3,4.0,11.0,21.37073386867629,20.0,36.0,44.0,9.505024809573305,29,
sent.refix,numeric,1335190,5.2,0.0,1.0,0.9171840711808806,1.0,1.0,1.0,0.2756038962748147,2,"{1.0: 91.7, 0.0: 8.3}"
sent.reg.in,numeric,1333849,5.3,0.0,0.0,0.02058478883291887,0.0,0.0,1.0,0.14198968419071903,2,"{0.0: 97.9, 1.0: 2.1}"
sent.reg.in.from,numeric,27457,98.1,2.0,2.0,5.406817933496012,5.0,9.0,11.0,2.5612531340447204,10,"{2.0: 15.7, 6.0: 14.3, 3.0: 13.5, 5.0: 12.3, 4.0: 11.8, 7.0: 10.9, 8.0: 8.4, 9.0: 4.6, 10.0: 4.6, 11.0: 4.0}"
sent.reg.out,numeric,1333849,5.3,0.0,0.0,0.02058478883291887,0.0,0.0,1.0,0.141989684190719,2,"{0.0: 97.9, 1.0: 2.1}"
sent.reg.out.to,numeric,27457,98.1,1.0,1.0,3.783151837418509,3.0,7.0,10.0,2.490825868402137,10,"{1.0: 25.0, 2.0: 14.7, 5.0: 12.5, 3.0: 11.9, 4.0: 11.4, 6.0: 8.3, 7.0: 6.9, 8.0: 3.9, 9.0: 3.2, 10.0: 2.2}"
sent.run,numeric,1333849,5.3,1.0,1.0,1.554843164406166,1.0,3.0,22.0,1.0230145550640042,22,
sent.run.fix,numeric,1333849,5.3,1.0,2.0,13.279665089526626,10.0,29.0,155.0,12.565419471276188,155,
sent.runid,numeric,1333849,5.3,1.0,1.0,2.9224987236186406,2.0,6.0,52.0,2.5381391429837383,52,
sent.word,numeric,1333849,5.3,1.0,2.0,11.027336677539962,9.0,22.0,45.0,8.335062596370213,45,
sentnum,numeric,1333849,5.3,1.0,1.0,4.542621391176962,4.0,8.0,11.0,2.603746534608987,11,"{5.0: 14.3, 3.0: 14.2, 1.0: 13.8, 2.0: 13.0, 6.0: 11.7, 4.0: 10.1, 7.0: 8.1, 8.0: 6.5, 10.0: 3.8, 9.0: 3.3, 11.0: 1.3}"
start,numeric,1408291,0.0,1.0,4446.0,28595.440922366186,23705.0,57172.0,234013.0,23660.98109579108,113037,
stop,numeric,1408291,0.0,1.0,4668.0,28821.13600882204,23929.0,57407.0,234202.0,23668.130073735687,113398,
subid,categorical,1408291,0.0,,,,,,,,660,
trial.nwords,numeric,1333849,5.3,98.0,107.0,142.23725099317838,142.0,187.0,187.0,25.28509045521289,12,"{187.0: 10.2, 148.0: 10.0, 173.0: 9.9, 142.0: 9.8, 161.0: 9.2, 147.0: 8.3, 133.0: 8.1, 120.0: 7.8, 126.0: 7.7, 116.0: 6.9, 107.0: 6.4, 98.0: 5.6}"
trialid,numeric,1408291,0.0,1.0,2.0,6.581529669649242,7.0,11.0,12.0,3.434320771037565,12,"{5: 10.0, 12: 9.9, 7: 9.9, 4: 9.8, 1: 9.3, 6: 8.2, 8: 8.1, 11: 7.8, 10: 7.7, 9: 7.0, 3: 6.6, 2: 5.7}"
trialnum,numeric,1408291,0.0,1.0,2.0,6.584624200538099,7.0,11.0,12.0,3.434991012175326,12,"{5.0: 10.0, 12.0: 10.0, 7.0: 9.9, 4.0: 9.8, 1.0: 9.3, 6.0: 8.2, 8.0: 8.1, 11.0: 7.8, 10.0: 7.7, 9.0: 7.0, 3.0: 6.6, 2.0: 5.7}"
type,categorical,1408291,0.0,,,,,,,,2,"{'in': 99.9, 'out': 0.1}"
uniform_id,categorical,1408291,0.0,,,,,,,,660,
word,categorical,1406950,0.1,,,,,,,,806,
word.cland,numeric,1333849,5.3,-8.0,-3.0,-0.5424886924981763,-0.5,2.0,7.0,2.020092670249875,31,
word.firstskip,numeric,1335190,5.2,0.0,0.0,0.14093949175772735,0.0,1.0,1.0,0.3479592535071597,2,"{0.0: 85.9, 1.0: 14.1}"
word.fix,numeric,1333849,5.3,1.0,1.0,1.8564402717249104,1.0,3.0,46.0,1.575145290383435,46,
word.land,numeric,1333849,5.3,0.0,0.0,3.019257802045059,3.0,6.0,15.0,2.3617933037274597,16,
word.launch,numeric,1325683,5.9,-141.0,-6.0,-1.3278709917831035,3.0,10.0,136.0,20.825580753991204,275,
word.refix,numeric,1335190,5.2,0.0,0.0,0.1937866520869689,0.0,1.0,1.0,0.39526383919109076,2,"{0.0: 80.6, 1.0: 19.4}"
word.reg.in,numeric,1333849,5.3,0.0,0.0,0.16004285342643731,0.0,1.0,1.0,0.3666459317604832,2,"{0.0: 84.0, 1.0: 16.0}"
word.reg.in.from,numeric,213473,84.8,2.0,15.0,71.96036501103184,70.0,132.0,187.0,44.027595012071956,186,
word.reg.out,numeric,1333849,5.3,0.0,0.0,0.16004285342643731,0.0,1.0,1.0,0.3666459317604833,2,"{0.0: 84.0, 1.0: 16.0}"
word.reg.out.to,numeric,213473,84.8,1.0,10.0,67.09852768265776,64.0,126.0,186.0,43.87949466685772,186,
word.run,numeric,1333849,5.3,1.0,1.0,1.4156932306430488,1.0,2.0,19.0,0.809097099828582,19,
word.run.fix,numeric,1406950,0.1,1.0,1.0,1.281368207825438,1.0,2.0,42.0,0.7357000109888385,42,
word.runid,numeric,1333849,5.3,1.0,3.0,15.29012279500903,12.0,32.0,117.0,12.968973175398814,117,
wordnum,numeric,1406950,0.1,1.0,12.0,68.6281893457479,66.0,128.0,187.0,43.29357882972225,187,
xn,numeric,1408291,0.0,-3221.6,214.7,814.0699245397433,770.3,1514.0,3270.0,466.171102776586,18344,
xs,numeric,1408291,0.0,-3221.6,214.7,814.0699245397433,770.3,1514.0,3270.0,466.171102776586,18344,
ym,numeric,1335190,5.2,93.0,101.0,276.8959088219654,248.0,444.0,836.0,134.9253905296049,56,
yn,numeric,1408291,0.0,-993.9,108.3,281.48687764105574,265.3,470.3,2744.8,144.0509444234482,9412,
ys,numeric,1408291,0.0,-993.9,108.3,281.48687764105574,265.3,470.3,2744.8,144.0509444234482,9412,
