column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
blink,numeric,2629678,0.0,0.0,0.0,0.10105952135584662,0.0,1.0,1.0,0.3014075796090899,2,"{0.0: 89.9, 1.0: 10.1}"
cond,numeric,2629678,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,{1.0: 100.0}
dur,numeric,2629678,0.0,1.0,122.0,224.82108569946587,206.0,345.0,10553.0,107.52871405568007,1817,
fixid,numeric,2629678,0.0,1.0,19.0,107.25332074877609,93.0,209.0,801.0,80.2710053557302,801,
ia,categorical,2628337,0.1,,,,,,,,806,
ia.cland,numeric,2555236,2.8,-7.0,-2.0,0.38083370772797503,0.5,3.0,8.0,2.01581493550754,31,
ia.firstskip,numeric,2556577,2.8,0.0,0.0,0.13270400226552925,0.0,1.0,1.0,0.3392546168689665,2,"{0.0: 86.7, 1.0: 13.3}"
ia.fix,numeric,2555236,2.8,1.0,1.0,1.8837571167594696,1.0,3.0,77.0,1.6379085709703363,77,
ia.land,numeric,2555236,2.8,1.0,1.0,3.94977176276477,4.0,7.0,16.0,2.3380730193811328,16,
ia.launch,numeric,2539669,3.4,-140.0,-6.0,-1.7697321973847773,2.0,8.0,136.0,20.238191000983907,275,
ia.refix,numeric,2556577,2.8,0.0,0.0,0.2015679559035382,0.0,1.0,1.0,0.4011712577031579,2,"{0.0: 79.8, 1.0: 20.2}"
ia.reg.in,numeric,2555236,2.8,0.0,0.0,0.15609164867746073,0.0,1.0,1.0,0.3629422783893399,2,"{0.0: 84.4, 1.0: 15.6}"
ia.reg.in.from,numeric,398851,84.8,2.0,14.0,71.84232457734844,70.0,132.0,187.0,44.156691973394096,186,
ia.reg.out,numeric,2555236,2.8,0.0,0.0,0.15609164867746073,0.0,1.0,1.0,0.36294227838933985,2,"{0.0: 84.4, 1.0: 15.6}"
ia.reg.out.to,numeric,398851,84.8,1.0,9.0,67.10879250647486,64.0,126.0,186.0,44.0025089394762,186,
ia.run,numeric,2555236,2.8,1.0,1.0,1.419832453832053,1.0,2.0,24.0,0.8140486601747806,24,
ia.run.fix,numeric,2555236,2.8,1.0,1.0,1.2980879261250233,1.0,2.0,42.0,0.7965942121811816,42,
ia.runid,numeric,2555236,2.8,1.0,3.0,14.915821865377602,12.0,31.0,117.0,12.331631426658284,117,
ianum,numeric,2628337,0.1,1.0,12.0,68.83285704991407,66.0,129.0,187.0,43.45058662527773,187,
itemid,categorical,2629678,0.0,,,,,,,,12,"{'5': 10.0, '12': 10.0, '7': 9.9, '4': 9.8, '1': 9.1, '6': 8.2, '8': 8.2, '11': 7.8, '10': 7.7, '9': 7.0, '3': 6.6, '2': 5.6}"
lang,categorical,2629678,0.0,,,,,,,,26,
letter,categorical,2555236,2.8,,,,,,,,64,
letternum,numeric,2555236,2.8,1.0,70.0,407.12150893303004,390.0,775.0,1091.0,259.592467681636,1091,
line,numeric,2556577,2.8,1.0,1.0,4.426463196688385,4.0,8.0,16.0,2.5685019624710765,16,
line.change,numeric,2555236,2.8,-15.0,0.0,0.02811286315627989,0.0,0.0,13.0,0.4172309254150823,29,
line.let,numeric,2555236,2.8,1.0,9.0,50.71544937532189,49.0,96.0,147.0,31.925449490936035,147,
line.word,numeric,2555236,2.8,1.0,2.0,8.99906505700452,9.0,17.0,28.0,5.462495814386605,28,
ps,numeric,2556577,2.8,139.0,520.0,947.0974858179511,879.0,1456.0,7743.0,382.6142876649279,3207,
sac.in,numeric,2539669,3.4,-144.0,-8.0,0.06664018027546109,6.0,12.0,139.0,21.986804676035657,277,
sac.out,numeric,2540190,3.4,-144.0,-8.0,0.011838484522811285,6.0,12.0,139.0,21.9940938305279,276,
sent,categorical,2555236,2.8,,,,,,,,93,
sent.firstskip,numeric,2556577,2.8,0.0,0.0,0.0025084321731753045,0.0,0.0,1.0,0.05002140461757666,2,"{0.0: 99.7, 1.0: 0.3}"
sent.fix,numeric,2555236,2.8,1.0,3.0,18.101181652105716,13.0,39.0,261.0,17.173724742807117,261,
sent.nwords,numeric,2555236,2.8,4.0,11.0,21.356771351061116,20.0,36.0,44.0,9.49625621385052,29,
sent.refix,numeric,2556577,2.8,0.0,1.0,0.9204381483522694,1.0,1.0,1.0,0.27061373219883833,2,"{1.0: 92.0, 0.0: 8.0}"
sent.reg.in,numeric,2555236,2.8,0.0,0.0,0.019317589451620123,0.0,0.0,1.0,0.1376387576352051,2,"{0.0: 98.1, 1.0: 1.9}"
sent.reg.in.from,numeric,49361,98.1,2.0,2.0,5.419825368205668,5.0,9.0,11.0,2.5459909013319737,10,"{2.0: 15.3, 6.0: 14.6, 3.0: 13.3, 5.0: 12.6, 4.0: 11.9, 7.0: 11.0, 8.0: 8.4, 9.0: 4.5, 10.0: 4.5, 11.0: 4.1}"
sent.reg.out,numeric,2555236,2.8,0.0,0.0,0.019317589451620123,0.0,0.0,1.0,0.13763875763520508,2,"{0.0: 98.1, 1.0: 1.9}"
sent.reg.out.to,numeric,49361,98.1,1.0,1.0,3.774477826624258,3.0,7.0,10.0,2.4764592114983794,10,"{1.0: 24.8, 2.0: 14.7, 5.0: 12.6, 3.0: 11.9, 4.0: 11.7, 6.0: 8.3, 7.0: 6.7, 8.0: 3.8, 9.0: 3.1, 10.0: 2.2}"
