column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
blink,numeric,1390163,3.3,0.0,0.0,0.09813741266311936,0.0,0.0,1.0,0.297500461453761,2,"{0.0: 90.2, 1.0: 9.8}"
cond,numeric,1438087,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,{1.0: 100.0}
dur,numeric,1094325,23.9,1.0,153.0,388.3797911954858,292.0,717.0,15138.0,329.72262801680336,4023,
firstfix.cland,numeric,1057356,26.5,-8.0,-3.0,-0.80673680387684,-0.5,1.5,7.0,1.8276808834552678,31,
firstfix.dur,numeric,1094325,23.9,1.0,127.0,226.67643615927628,210.0,343.0,10553.0,102.26765715130156,1423,
firstfix.land,numeric,1094325,23.9,0.0,0.0,4.058612843533686,2.0,6.0,239.9,10.330099204136888,1572,
firstfix.launch,numeric,1083486,24.7,-1120.0,-6.0,-2.99809928323947,5.0,11.0,1003.8,65.71596825438523,6736,
firstfix.sac.in,numeric,1046876,27.2,-144.0,-7.0,0.17874227702230255,7.0,13.0,135.0,25.73023671435694,257,
firstfix.sac.out,numeric,1053745,26.7,-142.0,-8.0,-0.39561089257837523,5.0,11.0,135.0,22.044341149591247,259,
firstrun.dur,numeric,1094325,23.9,1.0,136.0,282.1838046284239,237.0,469.0,10553.0,186.75576542329475,2644,
firstrun.gopast,numeric,1047287,27.2,0.0,0.0,359.4004604277529,237.0,666.0,94187.0,956.1822573543791,8235,
firstrun.gopast.sel,numeric,1047287,27.2,0.0,0.0,248.66657372811846,220.0,498.0,10893.0,235.8200468544335,2741,
firstrun.nfix,numeric,1094325,23.9,1.0,1.0,1.2585767482237908,1.0,2.0,25.0,0.6194368453153349,24,
firstrun.refix,numeric,1094325,23.9,0.0,0.0,0.19838530601055446,0.0,1.0,1.0,0.3987840539577077,2,"{0.0: 80.2, 1.0: 19.8}"
firstrun.reg.in,numeric,1057356,26.5,0.0,0.0,0.1121599536958224,0.0,1.0,1.0,0.31556329422362245,2,"{0.0: 88.8, 1.0: 11.2}"
firstrun.reg.out,numeric,1057356,26.5,0.0,0.0,0.19658090557957775,0.0,1.0,1.0,0.39741288669448294,2,"{0.0: 80.3, 1.0: 19.7}"
firstrun.skip,numeric,1438087,0.0,0.0,0.0,0.4115029201988475,0.0,1.0,1.0,0.4921061219522703,2,"{0.0: 58.8, 1.0: 41.2}"
itemid,categorical,1438087,0.0,,,,,,,,12,"{'5': 11.2, '7': 10.5, '1': 10.2, '4': 8.8, '6': 8.6, '12': 8.1, '8': 8.0, '10': 7.5, '9': 7.1, '11': 7.0, '3': 6.8, '2': 6.1}"
lang,categorical,1438087,0.0,,,,,,,,26,
nfix,numeric,1094325,23.9,1.0,1.0,1.7364046329929408,1.0,3.0,53.0,1.2609423770187107,43,
nrun,numeric,1094325,23.9,1.0,1.0,1.3796404176090284,1.0,2.0,24.0,0.7408741234625111,19,
refix,numeric,1094325,23.9,0.0,0.0,0.23737280972288854,0.0,1.0,1.0,0.4254728244561551,2,"{0.0: 76.3, 1.0: 23.7}"
reg.in,numeric,1094325,23.9,0.0,0.0,0.2295552052635186,0.0,1.0,1.0,0.42054699453847516,2,"{0.0: 77.0, 1.0: 23.0}"
