column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
ANSWER_LOCATIONS,categorical,2632159,0.0,,,,,,,,2,"{'[(930, 414), (180, 756), (1680, 756), (930, 1098)]': 87.8, '[(930,414), (180,756), (1680,756), (930,1098)]': 12.2}"
ANSWER_PRESS_NUMBER,numeric,2632159,0.0,1.0,1.0,1.3090455401820331,1.0,2.0,31.0,0.9577992909720082,19,
ANSWER_RT,numeric,2632159,0.0,563.0,1782.0,5498.06290159523,4361.0,10424.0,126066.0,4432.94948946694,9609,
CONFIRM_FINAL_ANSWER_RT,numeric,2632159,0.0,814.0,2773.0,6898.669386993719,5683.0,12192.0,229993.0,5034.620087442874,10433,
EXPERIMENT_DURATION,numeric,2632159,0.0,0.0,11.0,35.0400815452258,33.0,62.0,182.0,20.280567839401044,172,
EYE_REPORTED,categorical,2632159,0.0,,,,,,,,2,"{'RIGHT': 59.8, 'LEFT': 40.2}"
EYE_TRACKED,categorical,2632159,0.0,,,,,,,,2,"{'Right': 59.8, 'Left': 40.2}"
IA_AREA,numeric,2632159,0.0,3990.0,6498.0,12549.66687954641,10830.0,20900.0,54150.0,5618.03553340746,255,
IA_AVERAGE_FIX_PUPIL_SIZE,numeric,1517955,42.3,31.0,559.0,862.3523494504122,843.0,1197.0,2501.5,251.43347316250427,18754,
IA_BOTTOM,numeric,2632159,0.0,261.0,264.0,625.2166597838504,606.0,1059.0,1404.0,266.4759508239216,45,
IA_DWELL_TIME,numeric,2632159,0.0,0.0,0.0,171.34338199174138,135.0,432.0,30260.0,233.46015021345687,3199,
IA_DWELL_TIME_%,numeric,2632159,0.0,0.0,0.0,0.009025982320976811,0.0059,0.0233,0.586,0.012308658488001122,1784,
IA_FIRST_FIXATION_DURATION,numeric,1517955,42.3,1.0,109.0,190.97246229301922,178.0,284.0,6361.0,82.75660741714849,1275,
IA_FIRST_FIXATION_INDEX,numeric,1517955,42.3,1.0,8.0,54.13450135214812,45.0,111.0,771.0,42.80889620348306,470,
IA_FIRST_FIXATION_PREVIOUS_FIX_IA,numeric,1483225,43.6,1.0,10.0,55.955461915757894,52.0,108.0,165.0,36.51471729733609,165,
IA_FIRST_FIXATION_PREVIOUS_IAREAS,categorical,1493909,43.2,,,,,,,,1341518,
IA_FIRST_FIXATION_RUN_INDEX,numeric,1517955,42.3,1.0,8.0,47.98217074946227,41.0,98.0,503.0,37.01562755003144,390,
IA_FIRST_FIXATION_TIME,numeric,1517955,42.3,279.0,4841.0,16558.752161295954,14305.0,31134.0,222149.0,11089.175039139722,61314,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,1517955,42.3,0.0,6.0,35.376198899176856,32.0,70.0,141.0,24.58725935943694,142,
IA_FIRST_FIXATION_X,numeric,1517955,42.3,358.0,519.4,1209.592318415237,1198.6,1919.4,2195.0,509.02365835206615,18183,
IA_FIRST_FIXATION_Y,numeric,1517955,42.3,153.0,211.4,551.8760080503047,531.9,912.8,1401.4,264.4061072658292,11512,
