column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,1170036,3.4,0.0,1.0,3.1752099935386604,2.0,8.0,57.0,4.3688749117439425,36,
CURRENT_FIX_DURATION,numeric,1211325,0.0,1.0,118.0,222.9808754875859,204.0,338.0,4651.0,112.65990666680885,1396,
CURRENT_FIX_INDEX,numeric,1211325,0.0,1.0,46.0,264.8632183765711,231.0,515.0,1482.0,196.6314527716555,1482,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,1177155,2.8,1.0,13.0,77.42550301362182,77.0,142.0,180.0,47.05058908159054,180,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,1177155,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0.0: 100.0}
CURRENT_FIX_PUPIL,numeric,1211325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
CURRENT_FIX_X,numeric,1211325,0.0,-1283.2,194.1,799.8837020617917,789.2,1427.4,2357.1,446.00188156509887,16324,
CURRENT_FIX_Y,numeric,1211325,0.0,-886.6,81.8,464.0339099746146,464.8,827.7,2083.7,269.9614814073573,10944,
DE,numeric,1211325,0.0,0.0,0.0,0.09716054733453038,0.0,0.0,1.0,0.2961763795327427,2,"{0: 90.3, 1: 9.7}"
DE_RC,categorical,1211325,0.0,,,,,,,,4,"{'0_1.0': 57.2, '0_0.0': 33.1, '1_1.0': 7.9, '1_0.0': 1.8}"
FPF,numeric,1177155,2.8,0.0,0.0,0.8577392102144578,1.0,1.0,1.0,0.34931756488069604,2,"{1.0: 85.8, 0.0: 14.2}"
FPReg,numeric,1177155,2.8,0.0,0.0,0.23707328261783708,0.0,1.0,1.0,0.4252877789644269,2,"{0.0: 76.3, 1.0: 23.7}"
FRT,numeric,1177155,2.8,0.0,145.0,452.3924130637002,293.0,897.0,9649.0,514.29629221506,2283,
Fix,numeric,1177155,2.8,0.0,1.0,0.9976986887877977,1.0,1.0,1.0,0.047916772944207764,2,"{1.0: 99.8, 0.0: 0.2}"
IA_DWELL_TIME,numeric,1177155,2.8,0.0,120.0,226.70815652993872,210.0,343.0,2144.0,104.2067854735987,955,
IA_DWELL_TIME_%,numeric,1177155,2.8,0.0,0.0036431016613799817,0.006951142037075636,0.006500160102465578,0.010559200249921899,0.10115996762881035,0.0032286766239304518,93981,
