column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
AbsDistance2Head,numeric,417837,0.6,0.0,1.0,2.980054423136295,1.0,7.0,57.0,4.326912058775239,36,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,420501,0.0,1.0,16.0,80.16264884031192,79.0,144.0,180.0,46.796291960464416,180,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
DE,numeric,420501,0.0,0.0,0.0,0.10194268265711616,0.0,1.0,1.0,0.3025732800953765,2,"{0: 89.8, 1: 10.2}"
DE_RC,categorical,420501,0.0,,,,,,,,4,"{'0_1.0': 56.7, '0_0.0': 33.1, '1_1.0': 8.2, '1_0.0': 2.0}"
FPF,numeric,420501,0.0,0.0,0.0,0.7303573594355305,1.0,1.0,1.0,0.44377466724719977,2,"{1: 73.0, 0: 27.0}"
FPReg,numeric,420501,0.0,0.0,0.0,0.1619710773577233,0.0,1.0,1.0,0.3684247145008549,2,"{0: 83.8, 1: 16.2}"
FRT,numeric,420501,0.0,0.0,0.0,292.16498890609057,228.0,545.0,9649.0,289.4519664360928,2290,
Fix,numeric,420501,0.0,0.0,1.0,0.9001690840212033,1.0,1.0,1.0,0.2997747786302191,2,"{1: 90.0, 0: 10.0}"
IA_DWELL_TIME,numeric,420501,0.0,0.0,22.0,203.54143985388856,199.0,329.0,2144.0,116.99387297736804,958,
IA_DWELL_TIME_%,numeric,420501,0.0,0.0,0.000641025641025641,0.0063353000349583004,0.006254319281271597,0.010305134295633109,0.10115996762881035,0.0036576787736759737,95229,
IA_FIRST_FIXATION_DURATION,numeric,420501,0.0,0.0,0.0,166.55945407977626,180.0,313.0,2144.0,132.841227366179,933,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_FIX_PROGRESSIVE,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIRST_RUN_DWELL_TIME,numeric,420501,0.0,0.0,0.0,247.59978454272402,202.0,521.0,9649.0,299.4299284248011,2243,
IA_FIRST_RUN_FIXATION_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_FIXATION_%,numeric,420501,0.0,0.0,0.000758150113722517,0.0063353000349583,0.004942339373970346,0.01279317697228145,0.18604651162790697,0.005779615117471479,4633,
IA_FIXATION_COUNT,numeric,420501,0.0,0.0,1.0,2.83766507095108,2.0,6.0,87.0,2.916094456645584,51,
IA_LABEL,categorical,420501,0.0,,,,,,,,883,
IA_LAST_FIXATION_DURATION,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_DWELL_TIME,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LAST_RUN_FIXATION_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_LEFT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_IN_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_OUT_FULL_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_REGRESSION_PATH_DURATION,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_RUN_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SELECTIVE_REGRESSION_PATH_DURATION,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_SKIP,numeric,420501,0.0,0.0,1.0,0.9001690840212033,1.0,1.0,1.0,0.2997747786302191,2,"{1: 90.0, 0: 10.0}"
IA_TOP,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
LP,numeric,420501,0.0,0.0,1.0,2.7768875698274202,3.0,5.0,28.0,2.0930692577526995,28,
LengthCategory,categorical,420501,0.0,,,,,,,,3,"{1: 44.5, 2: 39.6, 3: 15.9, 0: 0.0}"
NEXT_SAC_END_X,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_END_Y,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_X,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
NEXT_SAC_START_Y,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
PARAGRAPH_RT,numeric,420501,0.0,3707.0,24838.0,32442.130159024593,32378.0,40089.0,49528.0,5857.711951425191,866,
RBRT,numeric,420501,0.0,0.0,0.0,291.0612769054057,221.0,633.0,10675.0,359.6484376202769,2564,
RC,numeric,420501,0.0,0.0,0.0,0.6486595751258618,1.0,1.0,1.0,0.47738964452324,2,"{1.0: 64.9, 0.0: 35.1}"
RPD_exc,numeric,420501,0.0,0.0,0.0,341.74095899890847,0.0,260.0,315640.0,3818.1713192925677,4197,
RPD_inc,numeric,420501,0.0,0.0,0.0,632.8022359043141,236.0,910.0,318898.0,3884.6815380738653,5152,
RR,numeric,420501,0.0,0.0,0.0,0.6587499197385975,1.0,1.0,1.0,0.47412972653167224,2,"{1: 65.9, 0: 34.1}"
RRT,numeric,420501,0.0,0.0,0.0,385.2024513615901,215.0,956.0,23902.0,598.6494001737993,3695,
Relationship,categorical,417837,0.6,,,,,,,,31,
SFD,numeric,420501,0.0,0.0,0.0,118.8406543622964,92.0,287.0,2144.0,135.61208110754723,886,
SL_in,numeric,420501,0.0,-162.0,0.0,1.0766300199048278,1.0,2.0,156.0,3.0094665349353225,138,
SL_out,numeric,420501,0.0,-179.0,-1.0,0.19113628742856736,1.0,2.0,63.0,7.049241246251186,181,
STTS_PoS_tag,categorical,420501,0.0,,,,,,,,39,
STTS_punctuation_after,categorical,420501,0.0,,,,,,,,5,"{'0': 89.1, '$.': 5.3, '$,': 4.9, '$(': 0.5, '$($,': 0.1}"
STTS_punctuation_before,categorical,420501,0.0,,,,,,,,3,"{'0.0': 49.7, '0': 49.7, '$(': 0.6}"
TAG,categorical,417837,0.6,,,,,,,,37,
TFT,numeric,420501,0.0,0.0,26.0,632.8022359043141,443.0,1346.0,25314.0,721.6489317587411,4396,
TRC_in,numeric,420501,0.0,0.0,0.0,0.4205269428610158,0.0,1.0,12.0,0.7881847167869083,13,"{0: 70.4, 1: 21.1, 2: 6.1, 3: 1.6, 4: 0.5, 5: 0.2, 6: 0.1, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}"
TRC_out,numeric,420501,0.0,0.0,0.0,0.4212403775496372,0.0,1.0,15.0,0.7817217033621606,15,"{0: 70.0, 1: 21.6, 2: 5.9, 3: 1.6, 4: 0.5, 5: 0.2, 6: 0.1, 7: 0.0, 8: 0.0, 11: 0.0, 9: 0.0, 13: 0.0, 10: 0.0, 15: 0.0, 12: 0.0}"
TRIAL_IA_COUNT,numeric,420501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
Token,categorical,417837,0.6,,,,,,,,880,
Token_idx,numeric,417837,0.6,1.0,16.0,79.667365503773,79.0,143.0,179.0,46.51500311016666,179,
Word,categorical,417837,0.6,,,,,,,,880,
Word_idx,numeric,417837,0.6,2.0,17.0,80.667365503773,80.0,144.0,180.0,46.51500311016666,179,
Wordfreq_Frequency,numeric,417837,0.6,5.04930764022437,5.248793390257147,13.501149966745196,11.79201721692538,23.7846527212369,36.541209043760986,7.955097677891474,417,
acc_bq_1,numeric,420501,0.0,0.0,0.0,0.3922392574571761,0.0,1.0,1.0,0.4882501298323411,2,"{0.0: 60.8, 1.0: 39.2}"
acc_bq_2,numeric,420501,0.0,0.0,0.0,0.3618540740687894,0.0,1.0,1.0,0.48053746190506,2,"{0.0: 63.8, 1.0: 36.2}"
acc_bq_3,numeric,420501,0.0,0.0,0.0,0.42768269278788873,0.0,1.0,1.0,0.4947431547488335,2,"{0.0: 57.2, 1.0: 42.8}"
acc_tq_1,numeric,420501,0.0,0.0,0.0,0.6468997695605956,1.0,1.0,1.0,0.4779340968319755,2,"{1.0: 64.7, 0.0: 35.3}"
acc_tq_2,numeric,420501,0.0,0.0,0.0,0.6427832514072499,1.0,1.0,1.0,0.4791800174934272,2,"{1.0: 64.3, 0.0: 35.7}"
acc_tq_3,numeric,420501,0.0,0.0,0.0,0.6562957044097398,1.0,1.0,1.0,0.4749444064517572,2,"{1.0: 65.6, 0.0: 34.4}"
age,numeric,409641,2.6,18.0,19.0,24.206624825151778,25.0,29.0,41.0,4.185804234320057,16,
alcohol,categorical,414816,1.4,,,,,,,,2,"{'no': 95.9, 'yes': 4.1}"
annotated_type_frequency_normalized,numeric,420501,0.0,0.0,0.032700315984,3629.1489774476604,147.780903011,13129.4221199,24738.5901996,6798.802211580537,657,
avg_cond_prob_in_bigrams,numeric,420501,0.0,0.0,9.75918e-05,0.042311977286466344,0.0301274059589,0.109257424523,0.5006180465,0.04472241096797062,786,
avg_cond_prob_in_trigrams,numeric,420501,0.0,0.0,0.0268804790931,0.23731525679412108,0.22858505668,0.352013185599,25.0,0.5890544310100989,779,
bq_1,categorical,420501,0.0,,,,,,,,12,"{'In welche Typen werden Hadronen unterteilt?': 9.4, 'Welche Metapher wird für die Muskelkontraktion verwendet?': 9.4, 'Warum ist die Umlaufszeit für einen Halbkreis unabhängig vom Radius?': 9.2, 'Wovon hängt die effektive Masse eines Elektrons in einem Kristall nicht ab?': 9.0, 'Welches Molekül ist nicht am Aufbau von Pflanzenmaterial beteiligt?': 8.5, 'In welchem Organismus läuft die Rekombinationsreparatur wie im Text beschrieben ab?': 8.4, 'Welche Orientierung der Polypeptidketten gibt es innerhalb von Beta-Faltblättern nicht?': 8.1, 'In welcher Form wird Stickstoff neben Nitrat über die Wurzel aufgenommen?': 8.0, 'Wie kann die Rückstoßenergie noch von dem Kristall aufgenommen werden?': 8.0, 'Wie wird die absolute Länge der DNA-Fragmente bestimmt?': 7.9, 'Welche Anforderung muss die Referenzwelle erfüllen?': 7.4, 'Was gilt nicht für den Brechungsindex und die Phasengeschwindigkeit einer Welle in einem Material?': 6.7}"
bq_1_option1,categorical,420501,0.0,,,,,,,,12,"{'Mesonen und Baryonen.': 9.4, 'Die Ruderbewegung.': 9.4, 'Weil die Ablenkung im Magnetfeld nur von der Geschwindigkeit der Ionen abhängt.': 9.2, 'Von der tatsächliche Masse des Elektrons.': 9.0, 'Murein.': 8.5, 'In Escherichia coli (Darmbakterium).': 8.4, 'Orthogonale Orientierung.': 8.1, 'Ammonium.': 8.0, 'Es entstehen Phononen.': 8.0, 'Durch Positionsvergleich mit parallel mitlaufendem Marker.': 7.9, 'Sie muss kohärent sein.': 7.4, 'Sie sind abhängig von der Dicke des Materials.': 6.7}"
bq_1_option2,categorical,420501,0.0,,,,,,,,12,"{'Bosonen und Fermionen.': 9.4, 'Die Boxerbewegung.': 9.4, 'Weil die Ablenkung im Magnetfeld nicht von der Geschwindigkeit der Ionen abhängt.': 9.2, 'Von Richtung der Geschwindigkeit des Elektrons.': 9.0, 'Cellulose.': 8.5, 'In Homo sapiens (Mensch).': 8.4, 'Parallele Orientierung.': 8.1, 'Nitrit.': 8.0, 'Es entstehen Photonen.': 8.0, 'Durch die Dauer der Gelelektrophorese.': 7.9, 'Sie muss zirkular polarisiert sein.': 7.4, 'Ihr Produkt ergibt die Phasengeschwindigkeit der Welle im Vakuum.': 6.7}"
bq_1_option3,categorical,420501,0.0,,,,,,,,12,"{'Baryonen und Antibaryonen.': 9.4, 'Die Wurfbewegung.': 9.4, 'Weil der Radius sich quadratisch mit der Geschwindigkeit ändert.': 9.2, 'Vom Betrag der Geschwindigkeit des Elektrons.': 9.0, 'Hemicellulose.': 8.5, 'In Saccharomyces cerevisiae (Bäckerhefe).': 8.4, 'Antiparallele Orientierung.': 8.1, 'Molekularer Stickstoff.': 8.0, 'Es entstehen Plasmonen.': 8.0, 'Durch die absolute Positionen der Banden auf dem Gel.': 7.9, 'Sie muss linear polarisiert sein.': 7.4, 'Sie sind abhängig von der Wellenlänge.': 6.7}"
