column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
acc_bq_1,categorical,405565,1.5,,,,,,,,2,"{0: 61.5, 1: 38.5}"
acc_bq_2,categorical,405565,1.5,,,,,,,,2,"{0: 64.4, 1: 35.6}"
acc_bq_3,categorical,405565,1.5,,,,,,,,2,"{0: 57.8, 1: 42.2}"
acc_tq_1,categorical,405565,1.5,,,,,,,,2,"{1: 66.2, 0: 33.8}"
acc_tq_2,categorical,405565,1.5,,,,,,,,2,"{1: 63.2, 0: 36.8}"
acc_tq_3,categorical,405565,1.5,,,,,,,,2,"{1: 65.7, 0: 34.3}"
aoi,numeric,401837,2.4,1.0,91.0,500.4306870696327,494.0,912.0,1121.0,298.03632564978005,1121,
fixation_duration,numeric,411745,0.0,1.0,118.0,222.79587608835567,204.0,337.0,4651.0,112.48260958778407,1402,
fixation_index,numeric,411745,0.0,1.0,46.0,264.54563382676173,231.0,514.0,1482.0,195.95531833819848,1482,
fixation_position_x,numeric,411745,0.0,-1283.2,194.2,799.990363453108,789.2,1427.4,2357.1,445.8627774545332,16332,
fixation_position_y,numeric,411745,0.0,-886.6,81.8,464.04696766202375,464.6,828.6,2083.7,270.2758430715961,11038,
item_id,categorical,411745,0.0,,,,,,,,12,"{'p5': 10.4, 'b3': 9.8, 'b5': 9.3, 'b1': 8.9, 'p3': 8.4, 'p0': 8.2, 'p1': 8.0, 'b2': 8.0, 'b4': 7.8, 'p2': 7.6, 'p4': 6.8, 'b0': 6.7}"
next_saccade_duration,numeric,410931,0.2,1.0,18.0,43.03421255636591,28.0,77.0,342298.0,718.2607239225624,866,
previous_saccade_duration,numeric,410903,0.2,1.0,18.0,41.3674322163625,28.0,77.0,9491.0,53.603366498747455,847,
reader_id,numeric,411745,0.0,0.0,7.0,54.225263209025,64.0,98.0,105.0,34.13379789319321,76,
source_file,numeric,411745,0.0,0.0,7.0,54.225263209025,64.0,98.0,105.0,34.13379789319321,76,
text_domain,categorical,411745,0.0,,,,,,,,2,"{'bio': 50.5, 'physik': 49.5}"
trial,numeric,411745,0.0,1.0,2.0,6.491015070006922,6.0,11.0,12.0,3.4402814104790043,12,"{3: 8.8, 9: 8.6, 5: 8.5, 4: 8.4, 6: 8.4, 12: 8.3, 7: 8.3, 11: 8.3, 2: 8.2, 8: 8.2, 1: 8.1, 10: 8.0}"
version,numeric,411745,0.0,0.0,8.0,55.35066849627803,65.0,98.0,105.0,33.581366107886,76,
