column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
FD,numeric,142125,0.0,0.0,22.0,203.5218504837291,199.0,329.0,2144.0,116.93244958817856,960,
FFD,numeric,142125,0.0,0.0,0.0,166.41584520668425,180.0,313.0,2144.0,132.84326133175583,935,
FPF,numeric,142125,0.0,0.0,0.0,0.7297590149516271,1.0,1.0,1.0,0.4440857829802365,2,"{1: 73.0, 0: 27.0}"
FPRT,numeric,142125,0.0,0.0,0.0,247.15111345646437,202.0,521.0,9649.0,298.688916261231,2245,
FPReg,numeric,142125,0.0,0.0,0.0,0.16228671943711523,0.0,1.0,1.0,0.36871492604543,2,"{0: 83.8, 1: 16.2}"
FRT,numeric,142125,0.0,0.0,0.0,291.827201407212,228.0,545.0,9649.0,288.6309735560084,2293,
Fix,numeric,142125,0.0,0.0,1.0,0.9002145998240985,1.0,1.0,1.0,0.29971470789601323,2,"{1: 90.0, 0: 10.0}"
LP,numeric,142125,0.0,0.0,1.0,2.7791380826737027,3.0,5.0,28.0,2.0941960757472433,28,
PoS_tag,categorical,142125,0.0,,,,,,,,38,
RBRT,numeric,142125,0.0,0.0,0.0,290.52489709762534,221.0,632.0,10675.0,358.8928759040169,2567,
RPD_exc,numeric,142125,0.0,0.0,0.0,342.2950219876869,0.0,260.0,315640.0,3815.378558330571,4238,
RPD_inc,numeric,142125,0.0,0.0,0.0,632.8199190853122,236.0,908.0,318898.0,3881.7375606538203,5186,
RR,numeric,142125,0.0,0.0,0.0,0.6602779243623571,1.0,1.0,1.0,0.4736164748387865,2,"{1: 66.0, 0: 34.0}"
RRT,numeric,142125,0.0,0.0,0.0,385.66880562884785,216.0,955.0,23902.0,597.5206192855167,3706,
SFD,numeric,142125,0.0,0.0,0.0,118.83086015831134,92.0,287.0,2144.0,135.5730173232918,887,
SL_in,numeric,142125,0.0,-162.0,0.0,1.0769604221635884,1.0,2.0,156.0,3.055238782862781,140,
SL_out,numeric,142125,0.0,-179.0,-1.0,0.1881090589270009,1.0,2.0,63.0,7.082112222438253,182,
STTS_PoS_tag,categorical,142125,0.0,,,,,,,,39,
STTS_punctuation_after,categorical,142125,0.0,,,,,,,,5,"{'0': 89.1, '$.': 5.3, '$,': 4.9, '$(': 0.5, '$($,': 0.1}"
STTS_punctuation_before,categorical,142125,0.0,,,,,,,,3,"{0.0: 49.8, '0': 49.6, '$(': 0.6}"
TFC,numeric,142125,0.0,0.0,1.0,2.8391908531222514,2.0,6.0,87.0,2.9135249416136912,51,
TFT,numeric,142125,0.0,0.0,28.0,632.8199190853122,443.0,1346.0,25314.0,720.397524402456,4409,
