column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
blink_around,categorical,163908,0.0,,,,,,,,4,"{'NONE': 87.9, 'BEFORE': 5.8, 'AFTER': 5.5, 'BOTH': 0.8}"
fix_dur,numeric,163908,0.0,1.0,124.0,278.00198281963054,212.0,446.0,9202.0,293.86585329678326,2585,
fix_index,numeric,163908,0.0,1.0,3.0,14.968921590160333,12.0,30.0,192.0,12.743735224591106,192,
fix_run_index,categorical,163908,0.0,,,,,,,,32,
fix_x,numeric,163908,0.0,-1375.5,87.0,557.2694261414941,529.9,1120.7,3270.0,394.64516039341663,17301,
fix_x_offset,categorical,163908,0.0,,,,,,,,2225,
fix_y,numeric,163908,0.0,-1036.5,343.7,369.9371049613198,368.0,393.8,2140.2,46.662916490020194,3210,
fix_y_offset,categorical,163908,0.0,,,,,,,,821,
item_id,numeric,163908,0.0,1.0,19.0,99.23419235180711,99.0,181.0,200.0,58.36328498861453,200,
nearest_word_dist,categorical,163908,0.0,,,,,,,,289,
nearest_word_index,categorical,163908,0.0,,,,,,,,28,
participant_id,numeric,163908,0.0,3.0,7.0,23.815060887815115,23.0,40.0,43.0,11.98444526556535,37,
start_time,numeric,163908,0.0,7.0,436.0,4826.652689313517,3592.0,10128.300000000017,106476.0,5043.179086041869,19381,
stimulus,categorical,163908,0.0,,,,,,,,5,"{'yes': 59.1, 'no': 31.0, 'on': 4.1, 'off': 3.9, 'NA': 1.8}"
trial_index,numeric,163908,0.0,6.0,23.0,99.85671840300657,98.0,182.0,205.0,57.53489750258171,200,
word,categorical,163908,0.0,,,,,,,,1174,
word_index,categorical,163908,0.0,,,,,,,,28,
