column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
first_fix_dur,numeric,98935,0.0,0.0,0.0,154.22463233436093,173.0,300.0,2787.0,131.71530097278122,853,
first_fix_index,categorical,98935,0.0,,,,,,,,93,
first_pass_dur,numeric,98935,0.0,0.0,0.0,169.95372719462273,176.0,347.0,3416.0,160.7390838201111,1129,
fix_count,numeric,98935,0.0,0.0,0.0,1.0331227573659474,1.0,2.0,29.0,1.036658308032434,20,
fix_x_offset,categorical,98935,0.0,,,,,,,,1942,
item_id,numeric,98935,0.0,1.0,19.0,98.82580482134735,99.0,181.0,200.0,58.12959808959953,200,
participant_id,numeric,98935,0.0,3.0,6.0,23.168373174306364,23.0,40.0,43.0,12.160924279108011,37,
prev_words_index,categorical,98935,0.0,,,,,,,,19769,
regr_in_count,numeric,98935,0.0,0.0,0.0,0.2174255824531258,0.0,1.0,12.0,0.4861470520654636,9,"{0: 81.0, 1: 16.8, 2: 2.0, 3: 0.3, 4: 0.1, 5: 0.0, 6: 0.0, 7: 0.0, 12: 0.0}"
regr_out_count,numeric,98935,0.0,0.0,0.0,0.2174255824531258,0.0,1.0,10.0,0.4942505909269113,9,"{0: 81.2, 1: 16.3, 2: 2.1, 3: 0.3, 4: 0.1, 5: 0.0, 6: 0.0, 7: 0.0, 10: 0.0}"
regr_path_dur,numeric,98935,0.0,0.0,0.0,248.40370950624148,185.0,489.0,29268.0,495.55363255410464,2514,
sacc_len,categorical,98935,0.0,,,,,,,,7442,
start_time,categorical,98935,0.0,,,,,,,,11227,
total_dur,numeric,98935,0.0,0.0,0.0,233.01499974730885,192.0,533.0,8243.0,264.35825257214447,1717,
trial_index,numeric,98935,0.0,6.0,25.0,103.9917723758023,103.0,184.0,205.0,57.23627255489535,200,
word,categorical,98935,0.0,,,,,,,,1167,
word_index,numeric,98935,0.0,1.0,2.0,8.136837317430636,7.0,15.0,27.0,5.121604794615867,27,
