column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,463564,0.0,1.0,97.0,203.7452822048304,187.0,321.0,3834.0,104.37556056035578,1239,
CURRENT_FIX_INTEREST_AREA_DWELL_TIME,numeric,251087,45.8,7.0,159.0,504.3227128445519,384.0,983.0,9861.0,440.7712156057687,2180,
CURRENT_FIX_INTEREST_AREA_ID,numeric,251087,45.8,1.0,12.0,59.81419587632972,57.0,111.0,146.0,36.65899501731005,146,
CURRENT_FIX_INTEREST_AREA_LABEL,categorical,251087,45.8,,,,,,,,1112,
CURRENT_FIX_INTEREST_AREA_PIXEL_AREA,numeric,251087,45.8,960.0,2624.0,5400.327213276673,5056.0,8732.0,13696.0,2423.311292943966,336,
CURRENT_FIX_INTEREST_AREA_RUN_ID,numeric,251087,45.8,1.0,1.0,1.3843090243620737,1.0,2.0,13.0,0.7394788554770233,13,"{1.0: 72.1, 2.0: 20.4, 3.0: 5.3, 4.0: 1.5, 5.0: 0.4, 6.0: 0.1, 7.0: 0.0, 8.0: 0.0, 9.0: 0.0, 11.0: 0.0, 10.0: 0.0, 13.0: 0.0, 12.0: 0.0}"
CURRENT_FIX_PUPIL,numeric,463564,0.0,176.0,1062.0,1625.9462253324245,1556.0,2303.0,4701.0,503.35433218317826,3889,
CURRENT_FIX_X,numeric,463564,0.0,-939.2,150.3,454.4686366930995,436.3,801.1,2017.8,239.06634319042504,10180,
CURRENT_FIX_Y,numeric,463564,0.0,-751.6,149.2,350.098845682581,342.3,571.4,1528.1,159.12441196826325,9281,
PREVIOUS_SAC_AMPLITUDE,numeric,456275,1.6,0.0,0.96,4.274410191222398,2.72,8.91,45.02,4.854857035777676,2936,
PREVIOUS_SAC_ANGLE,numeric,456275,1.6,-179.99,-174.73,-10.621233444742757,0.12,163.18,180.0,100.0170157112557,32923,
PREVIOUS_SAC_AVG_VELOCITY,numeric,456281,1.6,3.4,53.4,121.69252955963537,101.03,235.15,1789.35,77.95531471683807,39174,
PREVIOUS_SAC_BLINK_DURATION,numeric,33947,92.7,1.0,46.0,175.48027808053732,102.0,278.0,37104.0,489.3926539964853,1316,
PREVIOUS_SAC_CONTAINS_BLINK,categorical,456447,1.5,,,,,,,,2,"{False: 92.6, True: 7.4}"
PREVIOUS_SAC_DIRECTION,categorical,441149,4.8,,,,,,,,4,"{'RIGHT': 61.2, 'LEFT': 31.5, 'UP': 3.9, 'DOWN': 3.4}"
RECORDING_SESSION_LABEL,categorical,463564,0.0,,,,,,,,95,
RT,numeric,463564,0.0,-2171519.817,9645.14792234,31237.059796613208,30560.9300395,51402.9360019,113860.417763,17571.45091129396,7298,
Session_Name_,categorical,463564,0.0,,,,,,,,95,
TRIAL_INDEX,numeric,463564,0.0,1.0,4.0,33.77445185562296,31.0,64.0,100.0,22.033758738271263,100,
Trial_Index_,numeric,463564,0.0,1.0,4.0,33.75589778326186,31.0,64.0,100.0,22.030698889685617,100,
Trial_Recycled_,boolean,463564,0.0,,,,,,,,2,"{True: 51.8, False: 48.2}"
answer,numeric,463564,0.0,-1.0,1.0,1.5797581347990783,1.0,3.0,4.0,1.1052050524158865,6,"{1: 59.1, 3: 13.0, 2: 12.6, 4: 9.0, 0: 5.0, -1: 1.3}"
book,numeric,463564,0.0,1.0,1.0,2.4902861309333773,2.0,4.0,4.0,1.090379975883242,4,"{2: 28.8, 3: 24.3, 4: 23.9, 1: 23.0}"
book_name,categorical,463564,0.0,,,,,,,,4,"{'flytrap': 28.8, 'genome': 24.3, 'northpole': 23.9, 'dickens': 23.0}"
correct_answer,numeric,463564,0.0,-99.0,-99.0,-63.4246813816431,-99.0,3.0,4.0,48.37148936473255,5,"{-99: 64.9, 3: 10.0, 2: 10.0, 1: 9.5, 4: 5.6}"
page,numeric,463564,0.0,1.0,1.0,3.5108679707656334,3.0,6.0,13.0,2.300363871458403,13,"{1: 19.3, 2: 18.3, 3: 18.2, 4: 17.0, 5: 15.9, 6: 4.5, 7: 1.3, 8: 1.1, 11: 1.0, 10: 1.0, 12: 0.9, 13: 0.8, 9: 0.6}"
page_name,categorical,463564,0.0,,,,,,,,74,
total_page,numeric,463564,0.0,5.0,5.0,8.768426797594291,6.0,13.0,13.0,3.7138008840124734,3,"{13: 43.3, 6: 30.8, 5: 26.0}"
type,categorical,463564,0.0,,,,,,,,2,"{'reading': 56.7, 'question': 43.3}"
