Eval Type,Data,Model,seen_subject_unseen_item,unseen_subject_seen_item,unseen_subject_unseen_item,all
val,OneStop_RC,AhnCNN,"[0.5, 0.5, 0.5308537700226559, 0.5361064189189189, 0.5008951934995179, 0.5, 0.5119509043927649, 0.5110425164443464, 0.5, 0.5]","[0.49835255354200986, 0.5, 0.4837537885541095, 0.5007180419667118, 0.5319045078384852, 0.5, 0.522342064714946, 0.5380166217430369, 0.5, 0.5]","[0.5, 0.5, 0.49164133738601823, 0.4722222222222222, 0.48666666666666664, 0.5, 0.47155172413793106, 0.44514455151964416, 0.5, 0.5]","[0.4993493819128172, 0.5, 0.5066686148451198, 0.5143155694879833, 0.5138594480157664, 0.5, 0.5149295709306844, 0.5208080453666123, 0.5, 0.5]"
val,OneStop_RC,AhnRNN,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
val,OneStop_RC,BEyeLSTMArgs,"[0.5, 0.5426780377578541, 0.5759569140267896, 0.5278716216216216, 0.5338671107160297, 0.5293713837403158, 0.5295004306632214, 0.527156138610223, 0.546171324698932, 0.5074110671936759]","[0.5, 0.5152635719905586, 0.552471474416117, 0.5020043185833394, 0.5328353634309975, 0.5256259234117318, 0.5582764692934185, 0.5896787960467206, 0.5471205821205821, 0.5473814918089926]","[0.5, 0.548984468339307, 0.6679331306990881, 0.4236111111111111, 0.5466666666666666, 0.5657051282051282, 0.5525862068965517, 0.5266864343958487, 0.5057983942908117, 0.5085470085470085]","[0.5, 0.5321999305193678, 0.5718527177089421, 0.508719377684895, 0.5342004686307312, 0.530451127819549, 0.5460079562522109, 0.557836740886849, 0.5432785326537607, 0.5263493445881066]"
val,OneStop_RC,DummyClassifierMLArgs,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
val,OneStop_RC,LogisticMeziereArgs,"[0.5171088131566589, 0.5486771293222906, 0.5601511558980439, 0.5214315878378378, 0.5301360944523044, 0.5304317372926219, 0.5408053402239449, 0.5102216748768473, 0.5047010607521697, 0.5280335354442698]","[0.5368830313014827, 0.5328924790792218, 0.5050142627919415, 0.48851649430215616, 0.5722718552406034, 0.48319889789561954, 0.5723018717642374, 0.5505221895298884, 0.44963791968400263, 0.5214142558382713]","[0.5604575163398693, 0.4660392798690671, 0.5955465587044535, 0.5902777777777778, 0.4933333333333333, 0.6041666666666666, 0.4482758620689655, 0.6607142857142857, 0.5027777777777778, 0.47710184552289814]","[0.5313564872381422, 0.5371977742074532, 0.5345295149035652, 0.5101590618831998, 0.5477646952437438, 0.5178542862729066, 0.5518223037018616, 0.5398230719331637, 0.4799930174370115, 0.5220584622942765]"
val,OneStop_RC,LogisticMeziereArgsOLD,"[0.5132920192635292, 0.5493780413135252, 0.5758298755186722, 0.535472972972973, 0.5149178049604988, 0.5542583256639764, 0.5338070628768303, 0.49544334975369453, 0.4920443587270974, 0.5350465977992365]","[0.5717034596375619, 0.5142353686544706, 0.4897040470672134, 0.46713537415668815, 0.5174648942570751, 0.49988020604560157, 0.5056202708084429, 0.5400595982289738, 0.499890278692122, 0.5096505751132798]","[0.6437908496732025, 0.5053191489361701, 0.5327935222672064, 0.5486111111111112, 0.4866666666666667, 0.5512820512820513, 0.5672413793103448, 0.5428571428571429, 0.46944444444444444, 0.49726589200273413]","[0.5517023720254763, 0.5326608496501517, 0.533728813559322, 0.5023104609311506, 0.5150855477154916, 0.5318959847851975, 0.5184399090872289, 0.5203837956131534, 0.4970144001507347, 0.5194133672763002]"
val,OneStop_RC,LogisticRegressionMLArgs,"[0.4940711462450593, 0.5395679957236922, 0.4977095671529075, 0.43359375, 0.5026542800265428, 0.46707364911248406, 0.5320844099913867, 0.4939183478484548, 0.5299931833674165, 0.49998601685435157]","[0.4554662273476112, 0.503140571728298, 0.5004679978605813, 0.5143195131778782, 0.5082471535117095, 0.4517030707183644, 0.45663658375522787, 0.5577830188679245, 0.41546777546777547, 0.4757537469501568]","[0.44934640522875813, 0.5041816009557945, 0.4870820668693009, 0.4722222222222222, 0.5333333333333333, 0.5689102564102564, 0.5508620689655173, 0.5063009636767977, 0.4103479036574487, 0.5641025641025641]","[0.47502454604601646, 0.5179878843147473, 0.49890707188778494, 0.4776384535005225, 0.5073885140256763, 0.4723684210526316, 0.49377475455657815, 0.5274935515684861, 0.46564638636137495, 0.49519997320292086]"
val,OneStop_RC,MAG,"[0.5245937637241985, 0.511225307967053, 0.5714853531539409, 0.554370777027027, 0.507756256964355, 0.5, 0.5900086132644272, 0.5, 0.5293342422176779, 0.5]","[0.6378583196046128, 0.6257343299239444, 0.637580228204671, 0.5943424491946565, 0.6102893598665017, 0.5, 0.6093990755007704, 0.5725516621743036, 0.6412993762993763, 0.6646479609620077]","[0.545751633986928, 0.5232974910394265, 0.5075987841945289, 0.5, 0.5133333333333333, 0.5, 0.5913793103448276, 0.5, 0.47636039250669043, 0.5]","[0.582763352457562, 0.5585765155462915, 0.6029631794272355, 0.5721931963311273, 0.555193104053576, 0.5, 0.601374077231317, 0.5385056708265372, 0.5801833077203727, 0.5659587771599562]"
val,OneStop_RC,PLMASArgs,"[0.5163592446201142, 0.5189032242388901, 0.5800359712230216, 0.5041173986486487, 0.5075183733770705, 0.47670883593213687, 0.530792420327304, 0.5604857972292654, 0.5210179504658032, 0.5340769259452607]","[0.5529225700164745, 0.5102478363493312, 0.6053775182742022, 0.5398022543418293, 0.5256723161276408, 0.5365072076029229, 0.6123156504512437, 0.6046159029649596, 0.6197089397089397, 0.5738062042523527]","[0.5163398692810457, 0.49581839904420544, 0.5296352583586627, 0.5277777777777778, 0.5266666666666667, 0.5705128205128205, 0.5094827586206897, 0.6115641215715344, 0.5945584299732383, 0.5683760683760684]","[0.5352812444549595, 0.5135812923397602, 0.5896785505552309, 0.5244398003018693, 0.5167292128227156, 0.5131578947368421, 0.5732778367344572, 0.5854701665212609, 0.5751832524406019, 0.5545197740112995]"
val,OneStop_RC,PLMASfArgs,"[0.5195981554677207, 0.5273100566124839, 0.5892722286259391, 0.5713682432432432, 0.5208273340761979, 0.4984309110522702, 0.5514642549526271, 0.5016719950023886, 0.5256987048398092, 0.5230535461257364]","[0.5825568369028007, 0.6047469184369263, 0.6210108753788555, 0.5630947092188323, 0.6256257733480151, 0.5608752944934712, 0.577756988773938, 0.617026055705301, 0.6303118503118503, 0.6043699895433949]","[0.4852941176470588, 0.5197132616487455, 0.5455927051671733, 0.5277777777777778, 0.5866666666666667, 0.6137820512820513, 0.5758620689655172, 0.66234247590808, 0.6057091882247992, 0.6068376068376069]","[0.5530620453066777, 0.5572357564703839, 0.604845119812975, 0.5659236038546384, 0.5738838104306243, 0.5300751879699248, 0.5655057033338553, 0.5690053294389865, 0.5865653572731595, 0.5641689555838414]"
val,OneStop_RC,PostFusion,"[0.528546332894159, 0.522669290764633, 0.5517210540959497, 0.5350506756756757, 0.5422368569318026, 0.5718103363734431, 0.48266580534022396, 0.5077352735824789, 0.5553056123608271, 0.5535321425907973]","[0.5382273476112026, 0.697554419092578, 0.5164579247637725, 0.5176875949210153, 0.5179643777457402, 0.501078145589586, 0.514142637023993, 0.5178009883198562, 0.6542515592515592, 0.5810386894388289]","[0.5637254901960784, 0.48805256869773, 0.5083586626139818, 0.4652777777777778, 0.5333333333333333, 0.5560897435897436, 0.4482758620689655, 0.5, 0.48840321141837645, 0.45940170940170943]","[0.536252439817827, 0.5913377192982456, 0.5366861484511981, 0.5219087425983977, 0.5295287894060731, 0.5413533834586466, 0.4975687618517423, 0.5122140879262603, 0.6014743114904532, 0.5611397690985016]"
val,OneStop_RC,RandomForestMLArgs,"[0.5424901185770751, 0.542908861190077, 0.6061051711117293, 0.5324113175675675, 0.53051796021084, 0.5698980092183976, 0.5156115417743325, 0.4914746628449638, 0.5434219495569189, 0.5391201804757998]","[0.5808039538714992, 0.591253606084448, 0.5597142984489214, 0.5491626287568059, 0.6185648931218852, 0.553727588547698, 0.5722540171692714, 0.612084456424079, 0.5876611226611226, 0.6038253746950157]","[0.5473856209150327, 0.5035842293906809, 0.4969604863221885, 0.5833333333333334, 0.5466666666666666, 0.5641025641025641, 0.5775862068965517, 0.5537435137138621, 0.4264049955396967, 0.47435897435897434]","[0.5616182646241201, 0.5594243963870071, 0.5789772063120981, 0.5441774062463718, 0.5731204902271076, 0.5693609022556391, 0.5491089809386289, 0.5556177218070781, 0.5569271080940641, 0.5657131372680377]"
val,OneStop_RC,Roberta,"[0.5244290733421169, 0.5207984061034575, 0.5023898008664891, 0.5, 0.5434700955290406, 0.4858781994704325, 0.5778423772609819, 0.5, 0.5, 0.5517329778506973]","[0.5985700164744645, 0.6106412273800157, 0.6395525049028348, 0.5276213697554525, 0.6823909366450602, 0.5327137323803058, 0.6387299141536429, 0.5411051212938005, 0.5085654885654886, 0.6835569884977344]","[0.49019607843137253, 0.5209080047789725, 0.4787234042553192, 0.5, 0.5933333333333334, 0.5673076923076923, 0.6146551724137931, 0.5, 0.5, 0.6388888888888888]","[0.5599290234813982, 0.5569534914017717, 0.5700233781414378, 0.514594218042494, 0.6111495283106686, 0.5092105263157894, 0.612740151818282, 0.52148370822744, 0.5032283386217647, 0.6167459413590586]"
val,OneStop_RC,RoberteyeFixation,"[0.5, 0.5, 0.5, 0.5, 0.5221356938062626, 0.5, 0.5, 0.52847903575497, 0.5316518972960691, 0.5]","[0.5267018121911038, 0.5, 0.5999398288464967, 0.5, 0.5733559614489562, 0.5, 0.5, 0.5975404312668463, 0.6419334719334719, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5466666666666666, 0.5, 0.5, 0.6085989621942179, 0.5535236396074933, 0.5]","[0.5131685100845803, 0.5, 0.5490064289888954, 0.5, 0.5476809161970164, 0.5, 0.5, 0.568142377574631, 0.5853022145076231, 0.5]"
val,OneStop_RC,RoberteyeWord,"[0.5460035133948178, 0.5, 0.5426785643308558, 0.5514146959459459, 0.4876488337444129, 0.4991419044817103, 0.5038759689922481, 0.5299856686142652, 0.5401726880254487, 0.5]","[0.6431499176276771, 0.5106150013113034, 0.6478984667498663, 0.6330753892407353, 0.6315230840835045, 0.5388931038613585, 0.5715386308606647, 0.5970350404312669, 0.6523700623700623, 0.6284637504356919]","[0.5866013071895424, 0.5, 0.4574468085106383, 0.47916666666666663, 0.5, 0.5112179487179487, 0.5155172413793103, 0.5541141586360266, 0.5026761819803747, 0.5]","[0.597999645117407, 0.5042980284870592, 0.5906195207481005, 0.5894577963543481, 0.5567370322004102, 0.5165413533834586, 0.5421922026408726, 0.5651433827713083, 0.5933868810047651, 0.5504220539961144]"
val,OneStop_RC,SupportVectorMachineMLArgs,"[0.5354084321475626, 0.558762786403285, 0.5605002186096426, 0.5615498310810811, 0.5247336329831853, 0.5040453074433657, 0.5542635658914729, 0.5008635578583766, 0.5, 0.5690394511149228]","[0.5737462932454696, 0.5374508261211643, 0.49432831164200386, 0.4936564349991218, 0.49951754435753937, 0.500788643533123, 0.5048426150121066, 0.5015723270440252, 0.5, 0.5217192401533635]","[0.5032679738562091, 0.5657108721624851, 0.5919452887537994, 0.6180555555555556, 0.4866666666666667, 0.5, 0.5862068965517242, 0.5, 0.5, 0.5598290598290598]","[0.5487040870645294, 0.551741358346361, 0.5299415546464057, 0.5314408452339486, 0.5098885871661138, 0.5022556390977444, 0.528099140005683, 0.5011664074650077, 0.5, 0.5470009602286684]"
test,OneStop_RC,AhnCNN,"[0.5059880239520959, 0.5, 0.4902800033735346, 0.49200574822377874, 0.5020968987970422, 0.5, 0.506607264215057, 0.5104468016714883, 0.5, 0.5]","[0.49859747545582045, 0.5, 0.5085733997442283, 0.4818819252077562, 0.4905882352941176, 0.5, 0.5024928774928775, 0.4711724030159784, 0.5, 0.5]","[0.5, 0.5, 0.4583333333333333, 0.5066666666666667, 0.5208333333333334, 0.5, 0.5244625648628614, 0.4264049955396967, 0.5, 0.5]","[0.5024303146267444, 0.5, 0.49802172520730803, 0.4871043450414616, 0.4989707984480294, 0.5, 0.5053815106669229, 0.4859003430432002, 0.5, 0.5]"
test,OneStop_RC,AhnRNN,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
test,OneStop_RC,BEyeLSTMArgs,"[0.5, 0.5085418817955416, 0.5068314076073206, 0.515998552894713, 0.4864805209138064, 0.4768734993049413, 0.521700143472023, 0.5035358405657345, 0.5163865237815619, 0.5061431623931624]","[0.5, 0.561178306671869, 0.5625631015682844, 0.5009089335180056, 0.5082773109243698, 0.5175779967159277, 0.5447293447293448, 0.5519318670156659, 0.5199466755540744, 0.5309390048154092]","[0.5, 0.6238601823708207, 0.5486111111111112, 0.44, 0.47756410256410253, 0.4810344827586207, 0.5581912527798369, 0.5379125780553078, 0.5277777777777778, 0.5196078431372549]","[0.5, 0.5346256542877076, 0.5365970302703431, 0.5051089631227668, 0.4968102920155197, 0.4995526249935077, 0.5349477865334102, 0.5300017442874585, 0.5185375295694962, 0.5161986754966887]"
test,OneStop_RC,DummyClassifierMLArgs,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
test,OneStop_RC,LogisticMeziereArgs,"[0.5177005012531328, 0.5203327590896727, 0.5191869781563634, 0.534524515370469, 0.512526211234963, 0.5284342221660558, 0.5010762272309195, 0.5106526684993837, 0.5482281724991163, 0.5216346153846154]","[0.5049207824751435, 0.5016397970103912, 0.4663963115029952, 0.5503722299168975, 0.4929831932773109, 0.5550779967159277, 0.5550831631396171, 0.4324229691876751, 0.5035653607626189, 0.5429173354735153]","[0.44271685761047463, 0.6935222672064778, 0.5138888888888888, 0.5466666666666666, 0.5480769230769231, 0.43189655172413793, 0.6071428571428571, 0.4111111111111111, 0.5228981544771019, 0.5245098039215687]","[0.5097335402923295, 0.5174107142857143, 0.49262623879188294, 0.5426245533607497, 0.509034102511742, 0.5370978936782016, 0.5335557544159988, 0.46689975587952137, 0.5270789381153305, 0.5328930936613057]"
test,OneStop_RC,LogisticMeziereArgsOLD,"[0.5382988721804511, 0.562218545047904, 0.5384266677911782, 0.5374940960114161, 0.5680388478092926, 0.5285395341000042, 0.5257346317596079, 0.49146838562896955, 0.5289045010015319, 0.48664529914529914]","[0.4953772936706814, 0.5075171747160563, 0.47280743084068116, 0.5364179362880886, 0.517563025210084, 0.4837233169129721, 0.5156273592027782, 0.5236928104575164, 0.5030590125791954, 0.5487158908507224]","[0.5237315875613748, 0.593927125506073, 0.5555555555555556, 0.5466666666666666, 0.5833333333333333, 0.55, 0.5428571428571429, 0.44722222222222224, 0.49043062200956933, 0.5310457516339869]","[0.5219832754757086, 0.5374088921282798, 0.5062719106047326, 0.5377030944515606, 0.5496957320808659, 0.5047535069951037, 0.5214788732394366, 0.5077727444643103, 0.5136603375527427, 0.5194134342478713]"
test,OneStop_RC,LogisticRegressionMLArgs,"[0.4730014232214651, 0.49036096094272, 0.4464029687104664, 0.5118280758524354, 0.5248868778280543, 0.46309869834449646, 0.47999886732613456, 0.5253401907210972, 0.5087125660598943, 0.5090811965811965]","[0.49368863955119213, 0.48224736636753807, 0.5099532207040453, 0.5068040166204986, 0.5458823529411765, 0.5370032840722496, 0.5660968660968662, 0.4291792006875806, 0.48155307448758544, 0.5369983948635635]","[0.48267622461170845, 0.4673252279635258, 0.4722222222222222, 0.5333333333333333, 0.4375, 0.44913793103448274, 0.49925871015567086, 0.4103479036574487, 0.5833333333333333, 0.5457516339869282]","[0.4863897124273709, 0.48609604377381094, 0.48102415222814, 0.5106708858626037, 0.5233734939759036, 0.5012347078015591, 0.523704273175732, 0.469591255305541, 0.5030262668379416, 0.5238675496688742]"
test,OneStop_RC,MAG,"[0.5065389483901857, 0.5657952681771244, 0.540292654128363, 0.5, 0.5268182319832249, 0.5, 0.5364154647738428, 0.5, 0.5067894891368173, 0.5066773504273504]","[0.6229546517064048, 0.5995968266354532, 0.6143905229857979, 0.6228445290858726, 0.5696218487394958, 0.5029761904761905, 0.6114672364672364, 0.579517130913779, 0.6708465255790701, 0.6180176565008025]","[0.507168458781362, 0.47188449848024316, 0.4861111111111111, 0.5, 0.6394230769230769, 0.5, 0.636767976278725, 0.5, 0.5427350427350427, 0.5]","[0.5551210075905717, 0.5788268297226514, 0.5759918762219376, 0.5597885626643295, 0.5577006330406371, 0.5016077170418006, 0.5788006919085142, 0.5385487528344671, 0.5753223689290402, 0.5629347209082308]"
test,OneStop_RC,PLMASArgs,"[0.5040532297945183, 0.5485558525177672, 0.5434869697225269, 0.5667175833341708, 0.5064010594857079, 0.5620287290955811, 0.5442309144453674, 0.5103396549876782, 0.49932472108044623, 0.5331196581196581]","[0.5163627863487611, 0.5405644427103654, 0.5349919229992597, 0.6016447368421053, 0.5203781512605042, 0.570644499178982, 0.6074074074074074, 0.5918662343243348, 0.5604065989001833, 0.5870184590690208]","[0.4970131421744325, 0.44756838905775076, 0.5277777777777778, 0.66, 0.4935897435897436, 0.6827586206896552, 0.535952557449963, 0.4469223907225691, 0.6239316239316239, 0.6143790849673203]","[0.5091132417979072, 0.5402106139802973, 0.5388576147778601, 0.5880111069911683, 0.5106881764345518, 0.5741143391362239, 0.5750848869242104, 0.5486365486365486, 0.5296739107545223, 0.5620189214758751]"
test,OneStop_RC,PLMASfArgs,"[0.5166162745702462, 0.5792914414140801, 0.5646137302859071, 0.467455205056829, 0.49867564286502597, 0.4912169847087072, 0.5318753303632107, 0.5168756027000965, 0.5028002055196712, 0.5443376068376069]","[0.5877746610565685, 0.5819482377422291, 0.5680403176953625, 0.6094529085872576, 0.5542016806722689, 0.5416502463054187, 0.6024928774928775, 0.6183693401570496, 0.616563906015664, 0.6024077046548957]","[0.4994026284348865, 0.6299392097264438, 0.5972222222222222, 0.5933333333333333, 0.5416666666666666, 0.656896551724138, 0.6679021497405485, 0.5294380017841213, 0.6538461538461539, 0.5294117647058824]","[0.5447014935834087, 0.5820485003890112, 0.5689594148183106, 0.5427952032629947, 0.5230100061261997, 0.526654815360426, 0.5738356076622462, 0.572039072039072, 0.5574613402966426, 0.5737786187322611]"
test,OneStop_RC,PostFusion,"[0.5300516163729496, 0.550457844864241, 0.5030467234544994, 0.5049693997527862, 0.5393444432181878, 0.5467374362862799, 0.4881541191572907, 0.5077681345762349, 0.582028038755138, 0.485309829059829]","[0.5368162692847125, 0.628560280920796, 0.48354311099145186, 0.48863400277008306, 0.5639075630252102, 0.5183949096880132, 0.4896723646723647, 0.5104504434113373, 0.611906348941843, 0.5064205457463884]","[0.4886499402628435, 0.4984802431610942, 0.5625, 0.48, 0.6025641025641025, 0.3870689655172414, 0.47183098591549294, 0.4830508474576271, 0.5833333333333333, 0.38888888888888884]","[0.5300941987846675, 0.588363997647669, 0.49670498213443, 0.49571689813254227, 0.5567857872166633, 0.5209664244467423, 0.4880517650073676, 0.507674864817722, 0.597923291286738, 0.49028382213812677]"
