Eval Type,Data,Model,Seen subject unseen item,Unseen subject seen item,Unseen subject unseen item,All
val,OneStop_RC,AhnCNN,51.5 ± 0.8,50.3 ± 1.1,47.5 ± 2.7,50.6 ± 0.6
val,OneStop_RC,AhnRNN,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
val,OneStop_RC,BEyeLSTMArgs,54.6 ± 1.0,56.0 ± 1.0,51.4 ± 3.0,55.1 ± 0.7
val,OneStop_RC,DummyClassifierMLArgs,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
val,OneStop_RC,LogisticMeziereArgs,53.8 ± 0.8,53.0 ± 1.5,53.2 ± 3.0,53.6 ± 0.7
val,OneStop_RC,LogisticMeziereArgsOLD,53.0 ± 0.8,51.2 ± 0.9,53.5 ± 1.5,52.2 ± 0.5
val,OneStop_RC,LogisticRegressionMLArgs,49.7 ± 1.0,48.3 ± 1.7,52.0 ± 2.3,49.2 ± 0.7
val,OneStop_RC,MAG,57.9 ± 1.3,69.7 ± 0.9,57.3 ± 1.7,64.4 ± 0.8
val,OneStop_RC,PLMASArgs,54.9 ± 1.0,63.0 ± 1.1,57.2 ± 2.1,59.1 ± 0.8
val,OneStop_RC,PLMASfArgs,55.5 ± 1.0,64.1 ± 0.6,60.3 ± 1.5,60.1 ± 0.6
val,OneStop_RC,PostFusion,56.3 ± 1.5,58.7 ± 2.3,51.0 ± 2.7,57.4 ± 1.6
val,OneStop_RC,RandomForestMLArgs,56.7 ± 1.1,61.5 ± 0.7,56.0 ± 2.0,59.2 ± 0.4
val,OneStop_RC,Roberta,58.2 ± 1.0,68.1 ± 1.4,60.6 ± 2.0,63.8 ± 1.0
val,OneStop_RC,RoberteyeFixation,58.4 ± 1.6,66.0 ± 2.8,60.4 ± 2.7,62.5 ± 2.0
val,OneStop_RC,RoberteyeWord,58.5 ± 0.5,68.5 ± 1.4,62.0 ± 2.2,63.9 ± 0.8
val,OneStop_RC,SupportVectorMachineMLArgs,53.7 ± 0.8,51.3 ± 0.8,54.1 ± 1.4,52.5 ± 0.6
test,OneStop_RC,AhnCNN,49.5 ± 0.8,48.7 ± 1.2,52.3 ± 2.0,49.2 ± 0.6
test,OneStop_RC,AhnRNN,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
test,OneStop_RC,BEyeLSTMArgs,51.1 ± 0.8,54.4 ± 1.3,51.8 ± 1.5,52.6 ± 0.8
test,OneStop_RC,DummyClassifierMLArgs,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
test,OneStop_RC,LogisticMeziereArgs,53.4 ± 0.9,52.2 ± 1.5,54.3 ± 3.2,53.0 ± 0.8
test,OneStop_RC,LogisticMeziereArgsOLD,53.1 ± 0.8,51.0 ± 0.7,53.6 ± 1.3,52.2 ± 0.5
test,OneStop_RC,LogisticRegressionMLArgs,49.3 ± 0.9,50.2 ± 1.7,48.3 ± 2.3,49.8 ± 0.8
test,OneStop_RC,MAG,57.5 ± 1.1,67.9 ± 1.0,57.1 ± 3.0,62.9 ± 0.7
test,OneStop_RC,PLMASArgs,55.2 ± 1.0,60.3 ± 0.9,57.8 ± 2.1,57.9 ± 0.9
test,OneStop_RC,PLMASfArgs,55.0 ± 1.1,62.4 ± 0.8,60.2 ± 1.9,58.9 ± 0.6
test,OneStop_RC,PostFusion,54.0 ± 1.3,56.5 ± 2.0,49.5 ± 2.5,55.0 ± 1.6
test,OneStop_RC,RandomForestMLArgs,55.2 ± 1.5,59.7 ± 1.0,57.5 ± 2.6,57.9 ± 0.6
test,OneStop_RC,Roberta,56.4 ± 1.1,67.0 ± 0.9,60.2 ± 3.2,62.1 ± 0.8
test,OneStop_RC,RoberteyeFixation,58.6 ± 2.0,65.3 ± 2.1,59.0 ± 3.8,62.1 ± 1.7
test,OneStop_RC,RoberteyeWord,55.8 ± 1.0,67.3 ± 1.3,56.4 ± 2.4,61.9 ± 0.6
test,OneStop_RC,SupportVectorMachineMLArgs,51.6 ± 0.7,50.8 ± 0.9,50.8 ± 1.6,51.2 ± 0.6
