Eval Type,Data,Model,seen_subject_unseen_item,unseen_subject_seen_item,unseen_subject_unseen_item,all
val,OneStop_RC,AhnCNN,"[0.5098997218562437, 0.4721878011840837, 0.5265262927779324, 0.564624683277027, 0.5147675626948454, 0.4911534438233467, 0.5483419465977606, 0.5195739781232009, 0.5162690297659623, 0.48512193303005446]","[0.45980230642504116, 0.5054943613952269, 0.5022842752718845, 0.4991063218687688, 0.5622481297748918, 0.5207942339176616, 0.5125467752586397, 0.5449423480083857, 0.468991683991684, 0.4518560474032764]","[0.44934640522875813, 0.4362803663878933, 0.5319148936170213, 0.34259259259259256, 0.4737777777777777, 0.3669871794871795, 0.45431034482758614, 0.4981467753891772, 0.5343443354148082, 0.6623931623931625]","[0.48286271958360444, 0.48610278791037, 0.5156808883693746, 0.5202587819446057, 0.5338161488766959, 0.4937574198654531, 0.5239876364943779, 0.5318237207449834, 0.49342170726044515, 0.4818092494584757]"
val,OneStop_RC,AhnRNN,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
val,OneStop_RC,BEyeLSTMArgs,"[0.5, 0.5949413222538086, 0.5741931316824993, 0.5870328336148649, 0.5239323408997009, 0.5474485959922852, 0.5591085271317828, 0.5247981969401879, 0.5379686434901159, 0.508399209486166]","[0.5, 0.5337267243640178, 0.5698096808700304, 0.5321465838766001, 0.5635365701376985, 0.558499381064569, 0.5826946551137615, 0.629370694818808, 0.5681600831600833, 0.5595917567096549]","[0.5, 0.5583432895260853, 0.7253039513677811, 0.35956790123456794, 0.5262222222222223, 0.46260683760683763, 0.5806034482758621, 0.4255003706449222, 0.47100802854594115, 0.5313390313390314]","[0.5, 0.5680931908980372, 0.5799099941554646, 0.5429750893352426, 0.5437167044780565, 0.5470419469726949, 0.5695954605289865, 0.5773586560710086, 0.5466561266570112, 0.5340445724749335]"
val,OneStop_RC,DummyClassifierMLArgs,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
val,OneStop_RC,LogisticMeziereArgs,"[0.5209716479893922, 0.5870661596468048, 0.5801323849041692, 0.5127085092905406, 0.5488600368093551, 0.5301874037936848, 0.5193977892621304, 0.501551724137931, 0.5358154532304725, 0.545278463956883]","[0.5596309719934103, 0.5381853699743935, 0.4876983419504368, 0.4897562789928816, 0.5657785698879568, 0.4846763566665336, 0.5776981282357627, 0.6105998364338826, 0.45302360575566625, 0.5353455036598118]","[0.5223311546840959, 0.483633387888707, 0.5821862348178137, 0.6080246913580247, 0.5315555555555556, 0.6458333333333334, 0.4741379310344828, 0.6635714285714286, 0.3277777777777778, 0.4764183185235817]","[0.5406015965373554, 0.5600271692986925, 0.5387632963179427, 0.5062063805358824, 0.5557875363374992, 0.5226197741083719, 0.5477552295084811, 0.5673483838621454, 0.4878899636740473, 0.5369732699135794]"
val,OneStop_RC,LogisticMeziereArgsOLD,"[0.5132920192635291, 0.5493780413135252, 0.5758298755186723, 0.535472972972973, 0.5149178049604989, 0.5542583256639764, 0.5338070628768303, 0.49544334975369453, 0.4920443587270974, 0.5350465977992365]","[0.5717034596375618, 0.5142353686544706, 0.4897040470672134, 0.46713537415668804, 0.517464894257075, 0.49988020604560157, 0.5056202708084429, 0.5400595982289739, 0.499890278692122, 0.5096505751132799]","[0.6437908496732025, 0.5053191489361701, 0.5327935222672064, 0.5486111111111112, 0.48666666666666675, 0.5512820512820513, 0.5672413793103448, 0.5428571428571429, 0.46944444444444444, 0.4972658920027342]","[0.5517023720254762, 0.5326608496501517, 0.5337288135593221, 0.5023104609311506, 0.5150855477154916, 0.5318959847851976, 0.5184399090872288, 0.5203837956131534, 0.49701440015073467, 0.5194133672763002]"
val,OneStop_RC,LogisticRegressionMLArgs,"[0.48879190455277416, 0.5351459047063682, 0.49632338328232434, 0.42380173141891886, 0.49300747455271626, 0.47349710699225267, 0.5316806632213609, 0.49620891975648895, 0.5330455199575854, 0.503318666567231]","[0.4403294892915981, 0.5343430369787568, 0.5050588340167588, 0.5351014040561622, 0.5006186784120965, 0.44449546779539184, 0.45589618393932724, 0.5652890086852351, 0.38038461538461543, 0.4654169571279192]","[0.4749455337690632, 0.5388291517323776, 0.4346504559270517, 0.5262345679012346, 0.5688888888888889, 0.5801282051282051, 0.5896551724137932, 0.4833209785025945, 0.37912578055307766, 0.6260683760683762]","[0.46607204116638085, 0.5231652770540212, 0.49871186440677967, 0.48866313195815114, 0.5020572410363069, 0.4740106846062524, 0.4958174585225263, 0.5301369343397944, 0.44901823126844964, 0.49522453719211273]"
val,OneStop_RC,MAG,"[0.6585602400819792, 0.5876319135667485, 0.6049425652847887, 0.6172666807432432, 0.5628951684591403, 0.5406001765225066, 0.5878732414585127, 0.5013045235732921, 0.5729152465348785, 0.5556249533895146]","[0.7029192751235585, 0.7258720167846839, 0.7020636477090391, 0.677304708082363, 0.698221157666504, 0.6295771273409735, 0.6996678206231365, 0.6845144504342617, 0.7393035343035342, 0.7138920355524574]","[0.5969498910675382, 0.4914376742333732, 0.5334346504559271, 0.4807098765432099, 0.5631111111111111, 0.6452991452991452, 0.5991379310344828, 0.625648628613788, 0.5628902765388046, 0.6317663817663818]","[0.6737446028272314, 0.6488459701233281, 0.6505365283459964, 0.6424139221074088, 0.6395692427172072, 0.5928353779184804, 0.6588089977557803, 0.6178118954595455, 0.6791036937942928, 0.6333244009736272]"
val,OneStop_RC,PLMASArgs,"[0.56401881130142, 0.510338460043249, 0.5796434675464048, 0.595676731418919, 0.5503749796546932, 0.5115883756660455, 0.5419358311800172, 0.5875010717916682, 0.511823070514277, 0.5351769334029384]","[0.6152224052718287, 0.5595856281143456, 0.6515644499910859, 0.6305131675465694, 0.6860632754764959, 0.5844747035099629, 0.6463890500870471, 0.6294174902665468, 0.6736486486486486, 0.6242702161031718]","[0.611111111111111, 0.5001991238550378, 0.512917933130699, 0.5015432098765432, 0.48977777777777776, 0.6896367521367521, 0.5422413793103449, 0.6338028169014084, 0.6173059768064229, 0.6253561253561255]","[0.5922493641686875, 0.5327123501823866, 0.6114436002337814, 0.6088986931898809, 0.6129993164693648, 0.5561040759794222, 0.5998793804329546, 0.6126650039828548, 0.6041470884144656, 0.5827549630423617]"
val,OneStop_RC,PLMASfArgs,"[0.5594898257941736, 0.5797029261931952, 0.6045848404149609, 0.5986196157094594, 0.5617808716555446, 0.4980468111536072, 0.5416935831180016, 0.5379291760065654, 0.5386200106036507, 0.5257942426728317]","[0.6433212520593081, 0.6482690794649882, 0.6325548226065253, 0.6128668987819115, 0.6612253238128754, 0.6135946172583158, 0.63750425229624, 0.6595818358790058, 0.6680821205821206, 0.6304025792959219]","[0.582788671023965, 0.593389088012744, 0.5151975683890577, 0.5555555555555556, 0.5724444444444444, 0.5966880341880342, 0.6387931034482759, 0.6723498888065234, 0.6173059768064229, 0.6816239316239316]","[0.610040811498196, 0.605576906374848, 0.6148918760958504, 0.605211760001032, 0.6143052057374019, 0.5556608626830234, 0.5967899537818293, 0.608741417896294, 0.6178053378146802, 0.5844688595609745]"
