Eval Type,Data,Model,Seen subject unseen item,Unseen subject seen item,Unseen subject unseen item,All
val,OneStop_RC,AhnCNN,50.9 ± 0.4,50.8 ± 0.5,48.7 ± 0.6,50.7 ± 0.2
val,OneStop_RC,AhnRNN,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
val,OneStop_RC,BEyeLSTMArgs,53.2 ± 0.6,53.7 ± 0.8,53.5 ± 1.9,53.5 ± 0.6
val,OneStop_RC,DummyClassifierMLArgs,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
val,OneStop_RC,LogisticMeziereArgs,52.9 ± 0.5,52.1 ± 1.2,54.0 ± 2.1,52.7 ± 0.6
val,OneStop_RC,LogisticMeziereArgsOLD,53.0 ± 0.8,51.2 ± 0.9,53.5 ± 1.5,52.2 ± 0.5
val,OneStop_RC,LogisticRegressionMLArgs,49.9 ± 1.0,48.4 ± 1.2,50.5 ± 1.5,49.3 ± 0.6
val,OneStop_RC,MAG,52.9 ± 1.0,60.9 ± 1.4,51.6 ± 1.0,56.6 ± 0.9
val,OneStop_RC,PLMASArgs,52.5 ± 0.9,56.8 ± 1.2,54.5 ± 1.2,54.8 ± 0.9
val,OneStop_RC,PLMASfArgs,53.3 ± 0.9,59.9 ± 0.8,57.3 ± 1.6,56.7 ± 0.6
val,OneStop_RC,PostFusion,53.5 ± 0.8,55.6 ± 2.0,50.1 ± 1.2,54.3 ± 1.0
val,OneStop_RC,RandomForestMLArgs,54.1 ± 0.9,58.3 ± 0.7,52.7 ± 1.5,56.1 ± 0.3
val,OneStop_RC,Roberta,52.1 ± 0.9,59.6 ± 2.0,54.0 ± 1.7,55.8 ± 1.3
val,OneStop_RC,RoberteyeFixation,50.8 ± 0.4,54.4 ± 1.6,52.1 ± 1.1,52.6 ± 1.0
val,OneStop_RC,RoberteyeWord,52.0 ± 0.7,60.5 ± 1.5,51.1 ± 1.1,56.1 ± 1.0
val,OneStop_RC,SupportVectorMachineMLArgs,53.7 ± 0.8,51.3 ± 0.8,54.1 ± 1.4,52.5 ± 0.6
test,OneStop_RC,AhnCNN,50.1 ± 0.2,49.5 ± 0.3,49.4 ± 0.9,49.8 ± 0.2
test,OneStop_RC,AhnRNN,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
test,OneStop_RC,BEyeLSTMArgs,50.4 ± 0.4,53.0 ± 0.7,52.1 ± 1.5,51.7 ± 0.5
test,OneStop_RC,DummyClassifierMLArgs,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0,50.0 ± 0.0
test,OneStop_RC,LogisticMeziereArgs,52.1 ± 0.4,51.1 ± 1.2,52.4 ± 2.5,51.7 ± 0.7
test,OneStop_RC,LogisticMeziereArgsOLD,53.1 ± 0.8,51.0 ± 0.7,53.6 ± 1.3,52.2 ± 0.5
test,OneStop_RC,LogisticRegressionMLArgs,49.3 ± 0.8,50.9 ± 1.2,48.8 ± 1.6,50.1 ± 0.6
test,OneStop_RC,MAG,51.9 ± 0.7,60.1 ± 1.3,52.8 ± 1.8,55.8 ± 0.7
test,OneStop_RC,PLMASArgs,53.2 ± 0.8,56.3 ± 1.0,55.3 ± 2.6,54.8 ± 0.8
test,OneStop_RC,PLMASfArgs,52.1 ± 1.0,58.8 ± 0.8,59.0 ± 1.8,55.7 ± 0.6
test,OneStop_RC,PostFusion,52.4 ± 0.9,53.4 ± 1.6,49.5 ± 2.2,52.7 ± 1.2
test,OneStop_RC,RandomForestMLArgs,53.1 ± 1.0,56.4 ± 0.7,54.4 ± 1.8,54.9 ± 0.3
test,OneStop_RC,Roberta,52.4 ± 0.8,58.5 ± 1.3,55.7 ± 2.1,55.5 ± 1.0
test,OneStop_RC,RoberteyeFixation,50.7 ± 0.5,53.9 ± 1.5,51.2 ± 0.8,52.2 ± 0.8
test,OneStop_RC,RoberteyeWord,51.5 ± 0.6,59.7 ± 1.6,54.0 ± 1.6,55.4 ± 0.8
test,OneStop_RC,SupportVectorMachineMLArgs,51.6 ± 0.7,50.8 ± 0.9,50.8 ± 1.6,51.2 ± 0.6
