label,prediction_prob,eval_regime,eval_type,fold_index,unique_paragraph_id,participant_id,unique_trial_id,RC,difficulty,model,source_file
1.0,1.33080792427063,seen_subject_unseen_item,val,0,northpole,msd001,msd001_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.332302212715149,seen_subject_unseen_item,val,0,northpole,msd002,msd002_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3320001363754272,seen_subject_unseen_item,val,0,northpole,msd004,msd004_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3318300247192385,seen_subject_unseen_item,val,0,northpole,msd005,msd005_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.332192301750183,seen_subject_unseen_item,val,0,northpole,msd008,msd008_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3318967819213867,seen_subject_unseen_item,val,0,northpole,msd009,msd009_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3309614658355713,seen_subject_unseen_item,val,0,northpole,msd018,msd018_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.33132803440094,seen_subject_unseen_item,val,0,northpole,msd019,msd019_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3319621086120603,seen_subject_unseen_item,val,0,northpole,msd023,msd023_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.331940531730652,seen_subject_unseen_item,val,0,northpole,msd024,msd024_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3325378894805908,seen_subject_unseen_item,val,0,northpole,msd025,msd025_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.331748366355896,seen_subject_unseen_item,val,0,northpole,msd026,msd026_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.4708099365234375,seen_subject_unseen_item,val,0,northpole,msd031,msd031_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3311814069747925,seen_subject_unseen_item,val,0,northpole,msd032,msd032_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.332862138748169,seen_subject_unseen_item,val,0,northpole,msd034,msd034_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3323681354522705,seen_subject_unseen_item,val,0,northpole,msd035,msd035_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3317204713821411,seen_subject_unseen_item,val,0,northpole,msd037,msd037_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.33151376247406,seen_subject_unseen_item,val,0,northpole,msd042,msd042_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.332642674446106,seen_subject_unseen_item,val,0,northpole,msd044,msd044_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3327159881591797,seen_subject_unseen_item,val,0,northpole,msd046,msd046_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.332146406173706,seen_subject_unseen_item,val,0,northpole,msd048,msd048_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3322796821594238,seen_subject_unseen_item,val,0,northpole,msd050,msd050_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3314452171325684,seen_subject_unseen_item,val,0,northpole,msd056,msd056_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
3.0,1.332306146621704,seen_subject_unseen_item,val,0,northpole,msd057,msd057_northpole_1,1,3.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3318114280700684,seen_subject_unseen_item,val,0,northpole,msd058,msd058_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3320040702819824,seen_subject_unseen_item,val,0,northpole,msd059,msd059_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3319392204284668,seen_subject_unseen_item,val,0,northpole,msd063,msd063_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3314385414123535,seen_subject_unseen_item,val,0,northpole,msd065,msd065_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3319884538650513,seen_subject_unseen_item,val,0,northpole,msd066,msd066_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3318833112716677,seen_subject_unseen_item,val,0,northpole,msd068,msd068_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.332258224487305,seen_subject_unseen_item,val,0,northpole,msd069,msd069_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.332249402999878,seen_subject_unseen_item,val,0,northpole,msd071,msd071_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
3.0,1.3312960863113403,seen_subject_unseen_item,val,0,northpole,msd073,msd073_northpole_1,1,3.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.331993579864502,seen_subject_unseen_item,val,0,northpole,msd079,msd079_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3312904834747314,seen_subject_unseen_item,val,0,northpole,msd080,msd080_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3317402601242063,seen_subject_unseen_item,val,0,northpole,msd083,msd083_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3320754766464231,seen_subject_unseen_item,val,0,northpole,msd086,msd086_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
0.0,1.3320518732070925,seen_subject_unseen_item,val,0,northpole,msd087,msd087_northpole_1,1,0.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3319135904312134,seen_subject_unseen_item,val,0,northpole,msd089,msd089_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3312697410583496,seen_subject_unseen_item,val,0,northpole,msd090,msd090_northpole_1,0,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3323322534561155,seen_subject_unseen_item,val,0,northpole,msd091,msd091_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3319343328475952,seen_subject_unseen_item,val,0,northpole,msd093,msd093_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3317383527755735,seen_subject_unseen_item,val,0,northpole,msd094,msd094_northpole_1,1,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3315306901931765,seen_subject_unseen_item,val,0,northpole,msd096,msd096_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
1.0,1.3319467306137085,seen_subject_unseen_item,val,0,northpole,msd098,msd098_northpole_1,1,1.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
0.0,1.3322365283966064,seen_subject_unseen_item,val,0,northpole,msd101,msd101_northpole_1,1,0.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
2.0,1.3327089548110962,seen_subject_unseen_item,val,0,northpole,msd102,msd102_northpole_1,0,2.0,RoberteyeResidualGated,outputs/rgated_eval/fold_index=0/trial_level_test_results.csv
