metric_type,metric_name,eval_type,data_task,model,eval_regime,fold,score
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,all,0,0.7755765156264638
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,all,0,0.6573885415128605
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,all,0,-0.10077175086282097
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,all,1,0.695143023269705
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,all,1,0.5435368643549388
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,all,1,0.007758121478101843
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,all,2,0.6446160480552999
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,all,2,0.4677183503162361
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,all,2,-0.029010119890566566
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,all,3,0.7712793181157847
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,all,3,0.60930985575769
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,all,3,-0.21550342407760548
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,0.7630897138940295
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,0.6293567200781593
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,-0.9414048277935478
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,0.764825160916333
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,0.5963596323846092
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,-0.060708954119090164
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,0.6520838986286766
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,0.4259176900689031
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,-0.16494608918410458
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,0.8395218741412617
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,0.6731550263033973
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,-0.5325786617474944
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,0.7761575884569013
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,0.6808341642220815
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,-0.10312553916852751
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,0.6621675173712925
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,0.5222888191541036
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,0.033174471976328945
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.6297294973133638
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.5081913322210312
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.11996442677507169
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,0.6447314570632655
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,0.5006201146305471
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,-0.03075315670410017
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,0.8097236799815364
