model,eval_type,eval_regime,metric_name,mean,sem
RoberteyeResidualGated,test,all,mae,0.5694884029854314,0.04117321988827121
RoberteyeResidualGated,test,all,r2,-0.0843817933382228,0.04917426399903934
RoberteyeResidualGated,test,all,rmse,0.7216537262668133,0.03163329972290212
RoberteyeResidualGated,test,seen_subject_unseen_item,mae,0.5811972672087673,0.0540965238815812
RoberteyeResidualGated,test,seen_subject_unseen_item,r2,-0.42490963321105923,0.19970459112709624
RoberteyeResidualGated,test,seen_subject_unseen_item,rmse,0.7548801618950751,0.038619501704727416
RoberteyeResidualGated,test,unseen_subject_seen_item,mae,0.5529836075569409,0.04285267221918773
RoberteyeResidualGated,test,unseen_subject_seen_item,r2,0.004815050719693237,0.047416508996263936
RoberteyeResidualGated,test,unseen_subject_seen_item,rmse,0.6781965150512058,0.03331949202288257
RoberteyeResidualGated,test,unseen_subject_unseen_item,mae,0.5816171043484971,0.07130763308881861
RoberteyeResidualGated,test,unseen_subject_unseen_item,r2,-0.9224615087526553,0.5021081274951446
RoberteyeResidualGated,test,unseen_subject_unseen_item,rmse,0.7316003561068335,0.07266576491772708
RoberteyeResidualGated,val,all,mae,0.5505426528232626,0.02066722722114726
RoberteyeResidualGated,val,all,r2,0.011211560849302415,0.04773229848214216
RoberteyeResidualGated,val,all,rmse,0.6775065473322972,0.01924859775786677
RoberteyeResidualGated,val,seen_subject_unseen_item,mae,0.5541566330014813,0.02628242776844244
RoberteyeResidualGated,val,seen_subject_unseen_item,r2,-0.13292318565583655,0.08730736140825947
RoberteyeResidualGated,val,seen_subject_unseen_item,rmse,0.6931234331168463,0.032876694549503774
RoberteyeResidualGated,val,unseen_subject_seen_item,mae,0.5569878140788364,0.03978287963891615
RoberteyeResidualGated,val,unseen_subject_seen_item,r2,-0.039985335358307394,0.15203513165110324
RoberteyeResidualGated,val,unseen_subject_seen_item,rmse,0.6685421966091935,0.04721636318587347
RoberteyeResidualGated,val,unseen_subject_unseen_item,mae,0.5311867731852808,0.043176977029016954
RoberteyeResidualGated,val,unseen_subject_unseen_item,r2,-0.4792353209398409,0.29971984671276086
RoberteyeResidualGated,val,unseen_subject_unseen_item,rmse,0.6505724285183083,0.03829907916139062
